onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,621	4	32MC	1	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	1621	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,66	4	32MC	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6660	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,7	4	32MC	3	262	Dieser Mann ist echt hŸbsch.	2	11700	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
16,74	4	32MC	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16740	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,78	4	32MC	5	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	22780	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
27,814	4	32MC	6	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	27814	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
35,854	4	32MC	7	308	### ###### ### ########## ### ##########	3	35854	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,895	4	32MC	8	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	42895	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
50,94	4	32MC	9	113	Der vorbestrafte Mann war diesmal sauber.	1	50940	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
55,981	4	32MC	10	360	##### ###### ##### ##### ######### ### ###### #### #####	3	55981	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,02	4	32MC	11	212	Das Thema des Matheunterrichts ist schwierig.	2	62020	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
67,055	4	32MC	12	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	67055	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
73,095	4	32MC	13	334	#### ########### ############## ###### ### ##### ####	3	73095	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,129	4	32MC	14	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	81129	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
86,169	4	32MC	15	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	86169	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
94,209	4	32MC	16	319	### ###### ####### ###### ##### ####### ########### ######	3	94209	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,25	6	32MC	17	401	Hast du eben Rautezeichen gesehen?	4	105250	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
114,28	4	32MC	18	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	114280	keine	0	keine	4,89	2,25	0,4	4,26	2,68	56	11	4,157895	0	0	0	0	1	2	0	0	1
122,326	4	32MC	19	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	122326	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
127,366	4	32MC	20	326	###### ####### ######### #### ### ################# ## #########	3	127366	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
132,406	4	32MC	21	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	132406	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
138,446	4	32MC	22	359	###### ### ###### #### ### ########## ### ####### #######	3	138446	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
144,48	4	32MC	23	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	144480	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
155,515	4	32MC	24	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	155515	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
161,556	4	32MC	25	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	161556	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
170,59	4	32MC	26	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	170590	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,625	4	32MC	27	330	####### ### ######## ######## ### ###########	3	180625	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,672	4	32MC	28	230	Endlich war Ruhe zwischen den Streitenden.	2	185672	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
190,711	6	32MC	29	402	Hat der Streit aufgehšrt?	4	190711	Ja	2115	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,741	4	32MC	30	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	202741	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
208,787	4	32MC	31	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	208787	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
213,822	4	32MC	32	362	###### #### ### #### ######	3	213822	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,861	4	32MC	33	305	### ### ##### #### ###### ############ ### ###### #####	3	219861	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,896	4	32MC	34	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	229896	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,942	4	32MC	35	222	Die Unternehmerin war immer in Eile.	2	238942	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
246,977	4	32MC	36	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	246977	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,018	4	32MC	37	108	Der Gesang des Opernstars ist kšstlich.	1	255018	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
261,058	4	32MC	38	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	261058	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
271,093	4	32MC	39	350	######## ########## ##### ############ #### ## ######	3	271093	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,139	4	32MC	40	310	### ############ ##### ### #### #### ######### #######	3	282139	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,18	6	32MC	41	403	Hast du gerade Rautenzeichen gesehen?	4	293180	Nein	3401	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,227	4	32MC	42	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	302227	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
311,273	6	32MC	43	404	Ist die Tante nett zu armen Menschen?	4	311273	Ja	2766	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,314	4	32MC	44	354	###### ######### ### ############ ### ####### ###### ###	3	318314	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,354	4	32MC	45	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	325354	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
335,399	4	32MC	46	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	335399	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
340,446	4	32MC	47	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	340446	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
350,486	4	32MC	48	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	350486	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
358,532	4	32MC	49	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	358532	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,573	4	32MC	50	260	Ursula wollte alles vergessen und reiste nach Japan.	2	365573	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
