onset	duration	Experiment - Satz_C2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,633	4	33JM	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1633	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,672	4	33JM	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6672	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,709	6	33JM	3	406	Stand er zum Bergsteigen spŠt auf?	4	11709	Ja	2893	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
18,738	4	33JM	4	213	Der vorbestrafte Mann war diesmal unschuldig.	2	18738	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
24,779	4	33JM	5	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	24779	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
34,813	4	33JM	6	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	34813	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
44,859	4	33JM	7	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	44859	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
51,906	4	33JM	8	337	## #### #### ### ##### ########### ###### #########	3	51906	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
58,951	4	33JM	9	334	#### ########### ############## ###### ### ##### ####	3	58951	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
69,997	4	33JM	10	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	69997	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
75,038	6	33JM	11	407	War die Kaffeemaschine praktisch?	4	75038	Ja	5669	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
83,068	4	33JM	12	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	83068	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
88,102	4	33JM	13	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	88102	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
98,142	4	33JM	14	362	###### #### ### #### ######	3	98142	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
103,188	4	33JM	15	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	103188	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
108,228	4	33JM	16	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	108228	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
116,268	4	33JM	17	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	116268	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
126,309	4	33JM	18	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	126309	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
131,355	4	33JM	19	311	### #### ### ####### ######## ####### ####################	3	131355	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
137,395	4	33JM	20	208	Der Gesang des Opernstars ist wunderschšn.	2	137395	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
142,429	4	33JM	21	112	Der Stoff des Matheunterrichts ist schwierig.	1	142429	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
150,469	4	33JM	22	162	Dieser Mann ist ein echter Leckerbissen.	1	150469	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
157,51	4	33JM	23	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	157510	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
167,555	6	33JM	24	408	Hat sie besonders tiefgrŸndig reagiert?	4	167555	Ja	5085	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
175,591	4	33JM	25	360	##### ###### ##### ##### ######### ### ###### #### #####	3	175591	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,626	4	33JM	26	347	### #### ######## ###### ###### ### ###### ########## ###	3	180626	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
188,666	4	33JM	27	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	188666	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
194,706	4	33JM	28	330	####### ### ######## ######## ### ###########	3	194706	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
200,741	4	33JM	29	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	200741	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
205,775	4	33JM	30	318	### ######### #### ##### ######## ##### ######### ### ###	3	205775	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
210,815	4	33JM	31	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	210815	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,855	4	33JM	32	322	### ############## ### ##### ### ####	3	216855	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
223,889	4	33JM	33	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	223889	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
229,935	4	33JM	34	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	229935	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
234,969	4	33JM	35	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	234969	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
244,009	4	33JM	36	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	244009	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
255,044	4	33JM	37	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	255044	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
264,086	4	33JM	38	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	264086	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
275,121	4	33JM	39	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	275121	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
282,162	4	33JM	40	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	282162	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
291,208	4	33JM	41	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	291208	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
296,243	6	33JM	42	409	Hatte er eine ebene Gesichtshaut?	4	296243	Ja	3962	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
307,272	4	33JM	43	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	307272	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
312,307	4	33JM	44	312	### ##### ### ################ ### #########	3	312307	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,347	4	33JM	45	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	318347	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
324,382	4	33JM	46	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	324382	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
334,416	4	33JM	47	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	334416	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
340,463	4	33JM	48	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	340463	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
345,497	4	33JM	49	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	345497	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
355,537	4	33JM	50	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	355537	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
361,583	6	33JM	51	410	Hast du gerade Rauten gesehen?	4	361583	Nein	5502	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
374,624	4	33JM	52	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	374624	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
384,665	4	33JM	53	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	384665	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
390,711	4	33JM	54	122	Die Unternehmerin stand immer unter Druck.	1	390711	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
397,746	4	33JM	55	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	397746	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0

