onset	duration	Experiment - Satz_C1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,627	4	33JM	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1627	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,667	4	33JM	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6667	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,706	6	33JM	3	401	War er besser als die meisten?	4	11706	Ja	5683	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
22,736	4	33JM	4	331	## #### ##### ######### ### ######### ##### #########	3	22736	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
28,771	4	33JM	5	326	###### ####### ######### #### ### ################# ## #########	3	28771	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
38,806	4	33JM	6	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	38806	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
46,852	4	33JM	7	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	46852	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
52,892	4	33JM	8	230	Endlich war Ruhe zwischen den Streitenden.	2	52892	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
63,927	4	33JM	9	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	63927	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
68,968	4	33JM	10	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	68968	keine	0	keine	5,5	3,2	1,1	4,83	2,84	62	11	5,578947	1	0	0	1	2	1	0	0	0
76,008	4	33JM	11	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	76008	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
81,054	4	33JM	12	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	81054	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
86,093	4	33JM	13	260	Ursula wollte alles vergessen und reiste nach Japan.	2	86093	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
96,133	4	33JM	14	207	Der Flugbegleiter heute war wirklich attraktiv!	2	96133	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
104,18	4	33JM	15	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	104180	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
110,22	4	33JM	16	313	### ############ #### ### ####### ########	3	110220	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
115,255	4	33JM	17	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	115255	keine	0	keine	4,89	2,25	0,4	4,26	2,68	61	11	4,157895	0	0	0	0	1	2	0	0	1
121,295	4	33JM	18	350	######## ########## ##### ############ #### ## ######	3	121295	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
126,329	6	33JM	19	402	Hast du gerade einen Satz gelesen?	4	126329	warning	3165	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
135,358	4	33JM	20	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	135358	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
141,404	4	33JM	21	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	141404	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
147,438	6	33JM	22	403	Schien es ihr egal zu sein?	4	147438	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
157,479	4	33JM	23	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	157479	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
163,52	4	33JM	24	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	163520	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
173,554	4	33JM	25	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	173554	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
