onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,623	4	37DT	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1623	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,663	4	37DT	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6663	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,703	4	37DT	3	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	11703	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
16,742	4	37DT	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16742	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,778	4	37DT	5	113	Der vorbestrafte Mann war diesmal sauber.	1	22778	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
27,817	4	37DT	6	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	27817	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
35,856	4	37DT	7	310	### ############ ##### ### #### #### ######### #######	3	35856	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,897	4	37DT	8	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	42897	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
50,943	4	37DT	9	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	50943	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
55,983	4	37DT	10	347	### #### ######## ###### ###### ### ###### ########## ###	3	55983	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,023	4	37DT	11	222	Die Unternehmerin war immer in Eile.	2	62023	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
67,057	4	37DT	12	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	67057	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
73,097	4	37DT	13	357	##### #### ############## ##### #### ######## #########	3	73097	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,131	4	37DT	14	262	Dieser Mann ist echt hŸbsch.	2	81131	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
86,172	4	37DT	15	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	86172	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
94,211	4	37DT	16	337	## #### #### ### ##### ########### ###### #########	3	94211	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,252	6	37DT	17	406	Hast du gerade Rauten gesehen?	4	105252	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
114,299	4	37DT	18	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	114299	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
