onset	duration	Experiment - Satz_D1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,63	4	37DT	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1630	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,667	4	37DT	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6667	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,71	4	37DT	3	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	11710	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
17,747	4	37DT	4	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	17747	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
24,781	4	37DT	5	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	24781	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
30,827	4	37DT	6	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	30827	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
35,861	4	37DT	7	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	35861	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
45,901	6	37DT	8	401	War er frohen Mutes?	4	45901	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
56,937	4	37DT	9	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	56937	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
62,972	4	37DT	10	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	62972	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
73,007	4	37DT	11	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	73007	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
78,053	4	37DT	12	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	78053	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
83,093	4	37DT	13	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	83093	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
88,132	4	37DT	14	362	###### #### ### #### ######	3	88132	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
95,172	4	37DT	15	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	95172	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
