onset	duration	Experiment - Satz_D1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
103,218	4	37DT	16	308	### ###### ### ########## ### ##########	3	103218	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,258	6	37DT	17	402	Hast du gerade einen Satz gelesen?	4	108258	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
120,304	4	37DT	18	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	120304	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
129,35	4	37DT	19	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	129350	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
135,386	4	37DT	20	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	135386	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
140,42	4	37DT	21	359	###### ### ###### #### ### ########## ### ####### #######	3	140420	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
146,46	4	37DT	22	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	146460	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
151,494	4	37DT	23	319	### ###### ####### ###### ##### ####### ########### ######	3	151494	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
158,534	4	37DT	24	213	Der vorbestrafte Mann war diesmal unschuldig.	2	158534	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
166,579	4	37DT	25	230	Endlich war Ruhe zwischen den Streitenden.	2	166579	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
171,62	4	37DT	26	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	171620	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
176,66	4	37DT	27	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	176660	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
185,7	4	37DT	28	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	185700	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
194,735	4	37DT	29	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	194735	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
205,77	4	37DT	30	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	205770	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
211,811	4	37DT	31	313	### ############ #### ### ####### ########	3	211811	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,845	4	37DT	32	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	216845	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
227,885	6	37DT	33	403	Sprach er gerne Ÿber seine Kindheit?	4	227885	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
235,916	4	37DT	34	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	235916	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
240,95	4	37DT	35	303	### ####### #### ######### ####### ################ ###########	3	240950	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
248,99	4	37DT	36	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	248990	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
258,03	4	37DT	37	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	258030	keine	0	keine	4,89	2,25	0,4	4,26	2,68	56	11	4,157895	0	0	0	0	1	2	0	0	1
264,065	4	37DT	38	162	Dieser Mann ist ein echter Leckerbissen.	1	264065	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
273,1	4	37DT	39	307	### ############# ##### ### ######## #########	3	273100	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
278,135	4	37DT	40	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	278135	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
289,175	4	37DT	41	207	Der Flugbegleiter heute war wirklich attraktiv!	2	289175	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
297,216	4	37DT	42	330	####### ### ######## ######## ### ###########	3	297216	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
304,256	4	37DT	43	318	### ######### #### ##### ######## ##### ######### ### ###	3	304256	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
310,302	4	37DT	44	312	### ##### ### ################ ### #########	3	310302	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
316,336	4	37DT	45	122	Die Unternehmerin stand immer unter Druck.	1	316336	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
324,371	4	37DT	46	112	Der Stoff des Matheunterrichts ist schwierig.	1	324371	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
333,411	4	37DT	47	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	333411	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
338,446	6	37DT	48	404	Ging es gerade um Wahlkampf?	4	338446	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
350,475	4	37DT	49	311	### #### ### ####### ######## ####### ####################	3	350475	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
360,522	4	37DT	50	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	360522	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
367,568	4	37DT	51	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	367568	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
374,614	6	37DT	52	405	Hat der Kaffee geschmeckt?	4	374614	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
384,649	4	37DT	53	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	384649	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
391,69	4	37DT	54	208	Der Gesang des Opernstars ist wunderschšn.	2	391690	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
396,735	4	37DT	55	350	######## ########## ##### ############ #### ## ######	3	396735	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99

