onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,631	4	47CB	1	12	Immer wenn der Berg rief. stand er sehr frŸh auf.	99	1631	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,67	4	47CB	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6670	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,71	4	47CB	3	262	Dieser Mann ist echt hŸbsch.	2	11710	keine	0	keine	5	4	2	5.454.545	1.181.818	23	5	6.181.818	0	0	1	0	2	1	0	0	0
16,75	4	47CB	4	201	Ach. was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16750	keine	0	keine	4.33	2.2	0.2	4.63	1.37	58	11	5.736.842	0	0	0	1	1	1	0	0	1
22,79	4	47CB	5	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	22790	keine	0	keine	3.39	4.25	-0.7	4.26	2.53	59	7	6.210.526	0	0	0	1	1	2	0	0	0
27,824	4	47CB	6	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	27824	keine	0	keine	3.44	4	1.7	5.26	1.74	49	8	3.315.789	0	0	0	1	1	2	0	0	0
35,863	4	47CB	7	308	### ###### ### ########## ### ##########	3	35863	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,904	4	47CB	8	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	42904	keine	0	keine	3.5	4.7	-1.7	5.32	3.58	59	10	5.894.737	0	0	0	1	1	2	0	0	0
50,949	4	47CB	9	113	Der vorbestrafte Mann war diesmal sauber.	1	50949	keine	0	keine	2.83	5	1.8	4	4.63	36	6	6.052.632	0	0	0	1	1	1	0	0	0
55,99	4	47CB	10	360	##### ###### ##### ##### ######### ### ###### #### #####	3	55990	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
