onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
62,03	4	47CB	11	212	Das Thema des Matheunterrichts ist schwierig.	2	62030	keine	0	keine	3	4.15	-0.3	4.05	1.95	40	6	5.315.789	0	0	0	1	1	1	0	0	0
67,064	4	47CB	12	159	Linda war nervšs. aber die PrŠsentation lief absolut glatt.	1	67064	keine	0	keine	4.22	3.65	1.5	5.16	4.74	51	9	5.947.368	1	0	0	0	1	1	0	0	0
73,104	4	47CB	13	334	#### ########### ############## ###### ### ##### ####	3	73104	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,139	4	47CB	14	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	81139	keine	0	keine	4.5	2.65	1.3	4.21	1.79	58	9	5.842.105	0	0	0	0	1	1	0	1	0
86,179	4	47CB	15	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	86179	keine	0	keine	3.89	4.7	0.6	5.16	2.21	49	7	4.736.842	0	0	0	1	1	0	0	0	0
94,219	4	47CB	16	319	### ###### ####### ###### ##### ####### ########### ######	3	94219	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,259	6	47CB	17	401	Hast du eben Rautezeichen gesehen?	4	105259	Ja	3747	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
114,29	4	47CB	18	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	114290	keine	0	keine	4.89	2.25	0.4	4.26	2.68	56	11	4.157.895	0	0	0	0	1	2	0	0	1
122,336	4	47CB	19	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	122336	keine	0	keine	2.67	3.85	1.4	5.05	1.63	46	8	6	0	0	0	0	1	0	0	0	0
127,376	4	47CB	20	326	###### ####### ######### #### ### ################# ## #########	3	127376	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
132,416	4	47CB	21	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	132416	keine	0	keine	3.28	4.35	1.5	4.68	2.21	47	9	5.368.421	0	0	0	1	1	2	0	0	0
138,456	4	47CB	22	359	###### ### ###### #### ### ########## ### ####### #######	3	138456	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
144,49	4	47CB	23	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	144490	keine	0	keine	3.94	2.55	0.9	4.21	2.53	44	7	6.222.222	0	0	0	1	1	1	0	0	0
155,525	4	47CB	24	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	155525	keine	0	keine	4.17	5.05	-1.8	4.74	1.95	57	8	5.111.111	0	0	0	1	1	2	0	0	0
161,566	4	47CB	25	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	161566	keine	0	keine	3.22	3.45	0.6	3.63	4.89	55	8	5.833.333	0	0	0	1	1	1	0	1	0
170,6	4	47CB	26	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	170600	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,635	4	47CB	27	330	####### ### ######## ######## ### ###########	3	180635	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,682	4	47CB	28	230	Endlich war Ruhe zwischen den Streitenden.	2	185682	keine	0	keine	4	2.2	0.7	4.95	1.32	37	6	4.578.947	0	0	0	1	1	1	0	0	0
190,721	6	47CB	29	402	Hat der Streit aufgehšrt?	4	190721	Ja	2724	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,751	4	47CB	30	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	202751	keine	0	keine	5.89	3.9	1.2	5.26	3.58	49	8	5.263.158	0	0	0	1	1	1	0	0	0
208,797	4	47CB	31	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	208797	keine	0	keine	2.94	4.25	0.8	4.58	2.79	64	10	5.789.474	0	0	0	0	1	1	0	1	0
213,832	4	47CB	32	362	###### #### ### #### ######	3	213832	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,871	4	47CB	33	305	### ### ##### #### ###### ############ ### ###### #####	3	219871	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,906	4	47CB	34	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	229906	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,952	4	47CB	35	222	Die Unternehmerin war immer in Eile.	2	238952	keine	0	keine	4.67	3.25	-0.3	5.26	1.79	31	6	4.157.895	0	0	0	0	1	1	0	0	0
246,988	4	47CB	36	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	246988	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,028	4	47CB	37	108	Der Gesang des Opernstars ist kšstlich.	1	255028	keine	0	keine	4.78	4.05	-0.4	4	4.74	34	6	5.5	0	0	0	1	1	1	0	0	0
261,068	4	47CB	38	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	261068	keine	0	keine	5.72	5.1	-1.7	4.53	2	46	9	6.263.158	0	0	0	0	1	1	0	0	0
271,103	4	47CB	39	350	######## ########## ##### ############ #### ## ######	3	271103	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,149	4	47CB	40	310	### ############ ##### ### #### #### ######### #######	3	282149	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,19	6	47CB	41	403	Hast du gerade Rautenzeichen gesehen?	4	293190	Ja	2306	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,238	4	47CB	42	144	Meine Tante hat ein weiches Herz. sie kocht freiwillig fŸr Obdachlose.	1	302238	keine	0	keine	5.5	3.2	1.1	4.83	2.84	60	11	5.578.947	1	0	0	1	2	1	0	0	0
311,283	6	47CB	43	404	Ist die Tante nett zu armen Menschen?	4	311283	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,324	4	47CB	44	354	###### ######### ### ############ ### ####### ###### ###	3	318324	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,364	4	47CB	45	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	325364	keine	0	keine	5.11	4.15	-0.8	3.68	5.42	49	7	4.421.053	0	0	0	1	1	1	0	0	0
335,41	4	47CB	46	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	335410	keine	0	keine	4.44	3.65	-0.2	4.95	3.89	57	9	6.736.842	0	0	0	0	1	1	0	1	1
340,456	4	47CB	47	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	340456	keine	0	keine	4.22	3.65	-0.1	5	4.63	52	9	5.315.789	0	0	0	0	1	1	0	0	0
350,496	4	47CB	48	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	350496	keine	0	keine	3.61	4.3	1.8	4.53	2.37	47	9	6.105.263	0	0	0	0	1	1	0	0	0
358,543	4	47CB	49	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	358543	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,583	4	47CB	50	260	Ursula wollte alles vergessen und reiste nach Japan.	2	365583	keine	0	keine	3.89	5.25	-2.1	4.58	2.53	45	8	4.368.421	1	0	0	0	1	0	0	0	0
371,629	4	47CB	51	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	371629	keine	0	keine	3.33	3.8	1.4	5.05	3.63	51	8	6.263.158	0	0	0	0	1	1	0	0	0
378,663	6	47CB	52	405	Ging es gerade ums Lernen?	4	378663	Nein	5205	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,715	4	47CB	53	207	Der Flugbegleiter heute war wirklich attraktiv!	2	385715	keine	0	keine	5.18	5.5	-0.6	3.84	3.53	42	6	6.526.316	0	0	0	1	1	2	0	0	0
390,755	4	47CB	54	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	390755	keine	0	keine	4.59	4.2	-0.5	4.63	1.89	53	7	6.111.111	0	0	0	1	1	1	0	0	0
401,795	4	47CB	55	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	401795	keine	0	keine	6.53	3.65	0.7	5.16	3.26	54	8	5.947.368	0	0	0	1	1	1	0	0	0

