onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,618	4	30CC	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1618	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,658	4	30CC	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6658	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,698	4	30CC	3	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	11698	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
16,738	4	30CC	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16738	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,778	4	30CC	5	113	Der vorbestrafte Mann war diesmal sauber.	1	22778	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
27,812	4	30CC	6	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	27812	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
35,852	4	30CC	7	310	### ############ ##### ### #### #### ######### #######	3	35852	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,892	4	30CC	8	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	42892	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
50,938	4	30CC	9	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	50938	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
55,978	4	30CC	10	347	### #### ######## ###### ###### ### ###### ########## ###	3	55978	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,018	4	30CC	11	222	Die Unternehmerin war immer in Eile.	2	62018	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
67,053	4	30CC	12	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	67053	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
73,092	4	30CC	13	357	##### #### ############## ##### #### ######## #########	3	73092	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
