onset	duration	Experiment - Satz_D1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,622	4	30CC	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1622	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,659	4	30CC	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6659	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,702	4	30CC	3	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	11702	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
17,739	4	30CC	4	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	17739	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
24,773	4	30CC	5	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	24773	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
30,819	4	30CC	6	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	30819	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
35,854	4	30CC	7	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	35854	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
45,893	6	30CC	8	401	War er frohen Mutes?	4	45893	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
56,946	4	30CC	9	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	56946	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
62,981	4	30CC	10	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	62981	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
73,015	4	30CC	11	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	73015	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
78,062	4	30CC	12	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	78062	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
83,101	4	30CC	13	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	83101	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
88,141	4	30CC	14	362	###### #### ### #### ######	3	88141	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
95,181	4	30CC	15	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	95181	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
103,226	4	30CC	16	308	### ###### ### ########## ### ##########	3	103226	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,267	6	30CC	17	402	Hast du gerade einen Satz gelesen?	4	108267	Ja	2823	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
120,313	4	30CC	18	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	120313	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
129,359	4	30CC	19	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	129359	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
135,394	4	30CC	20	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	135394	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
140,429	4	30CC	21	359	###### ### ###### #### ### ########## ### ####### #######	3	140429	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
146,468	4	30CC	22	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	146468	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
151,503	4	30CC	23	319	### ###### ####### ###### ##### ####### ########### ######	3	151503	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
158,543	4	30CC	24	213	Der vorbestrafte Mann war diesmal unschuldig.	2	158543	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
166,588	4	30CC	25	230	Endlich war Ruhe zwischen den Streitenden.	2	166588	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
171,629	4	30CC	26	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	171629	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
176,669	4	30CC	27	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	176669	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
185,708	4	30CC	28	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	185708	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
194,744	4	30CC	29	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	194744	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
205,779	4	30CC	30	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	205779	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
211,82	4	30CC	31	313	### ############ #### ### ####### ########	3	211820	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,854	4	30CC	32	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	216854	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
227,894	6	30CC	33	403	Sprach er gerne Ÿber seine Kindheit?	4	227894	Nein	3744	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
235,941	4	30CC	34	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	235941	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
