onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,628	4	46DG	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1628	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,662	4	46DG	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6662	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,702	4	46DG	3	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	11702	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
16,741	4	46DG	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16741	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,781	4	46DG	5	113	Der vorbestrafte Mann war diesmal sauber.	1	22781	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
27,816	4	46DG	6	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	27816	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
35,855	4	46DG	7	310	### ############ ##### ### #### #### ######### #######	3	35855	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,896	4	46DG	8	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	42896	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
50,941	4	46DG	9	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	50941	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
55,982	4	46DG	10	347	### #### ######## ###### ###### ### ###### ########## ###	3	55982	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
62,021	4	46DG	11	222	Die Unternehmerin war immer in Eile.	2	62021	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
67,056	4	46DG	12	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	67056	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
73,096	4	46DG	13	357	##### #### ############## ##### #### ######## #########	3	73096	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
81,13	4	46DG	14	262	Dieser Mann ist echt hŸbsch.	2	81130	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
