onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
86,171	4	46DG	15	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	86171	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
94,211	4	46DG	16	337	## #### #### ### ##### ########### ###### #########	3	94211	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
105,251	6	46DG	17	406	Hast du gerade Rauten gesehen?	4	105251	Nein	2797	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
114,298	4	46DG	18	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	114298	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
122,344	4	46DG	19	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	122344	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
127,384	4	46DG	20	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	127384	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
132,424	4	46DG	21	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	132424	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
138,464	4	46DG	22	322	### ############## ### ##### ### ####	3	138464	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
144,498	4	46DG	23	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	144498	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
155,533	4	46DG	24	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	155533	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
161,574	4	46DG	25	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	161574	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
170,609	4	46DG	26	305	### ### ##### #### ###### ############ ### ###### #####	3	170609	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,644	4	46DG	27	304	### ### #### ########### ############## ######## ### ###	3	180644	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,69	4	46DG	28	212	Das Thema des Matheunterrichts ist schwierig.	2	185690	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
190,73	6	46DG	29	407	Ist es ein leichtes Thema?	4	190730	Nein	4642	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,776	4	46DG	30	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	202776	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
208,822	4	46DG	31	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	208822	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
213,857	4	46DG	32	326	###### ####### ######### #### ### ################# ## #########	3	213857	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,896	4	46DG	33	334	#### ########### ############## ###### ### ##### ####	3	219896	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,931	4	46DG	34	343	##### ########## ###### ### ######## ######## #####	3	229931	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,977	4	46DG	35	260	Ursula wollte alles vergessen und reiste nach Japan.	2	238977	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
247,012	4	46DG	36	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	247012	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,053	4	46DG	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255053	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
261,093	4	46DG	38	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	261093	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
271,128	4	46DG	39	360	##### ###### ##### ##### ######### ### ###### #### #####	3	271128	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,174	4	46DG	40	331	## #### ##### ######### ### ######### ##### #########	3	282174	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,215	6	46DG	41	408	Hast du gerade einen Satz gesehen?	4	293215	Nein	3711	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,263	4	46DG	42	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	302263	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
311,308	6	46DG	43	409	Verlief das GesprŠch gut?	4	311308	Ja	4053	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,349	4	46DG	44	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	318349	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,389	4	46DG	45	108	Der Gesang des Opernstars ist kšstlich.	1	325389	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
335,435	4	46DG	46	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	335435	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
340,481	4	46DG	47	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	340481	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
350,521	4	46DG	48	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	350521	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
358,568	4	46DG	49	354	###### ######### ### ############ ### ####### ###### ###	3	358568	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,608	4	46DG	50	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	365608	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
371,654	4	46DG	51	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	371654	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
378,688	6	46DG	52	410	Sprach er gern Ÿber seine Kindheit?	4	378688	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,723	4	46DG	53	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	385723	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
390,763	4	46DG	54	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	390763	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
401,803	4	46DG	55	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	401803	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0


