onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
170,61	4	44OG	26	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	170610	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,645	4	44OG	27	330	####### ### ######## ######## ### ###########	3	180645	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,692	4	44OG	28	230	Endlich war Ruhe zwischen den Streitenden.	2	185692	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
190,731	6	44OG	29	402	Hat der Streit aufgehšrt?	4	190731	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,76	4	44OG	30	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	202760	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
208,807	4	44OG	31	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	208807	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
213,841	4	44OG	32	362	###### #### ### #### ######	3	213841	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,881	4	44OG	33	305	### ### ##### #### ###### ############ ### ###### #####	3	219881	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,916	4	44OG	34	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	229916	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,962	4	44OG	35	222	Die Unternehmerin war immer in Eile.	2	238962	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
246,997	4	44OG	36	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	246997	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,037	4	44OG	37	108	Der Gesang des Opernstars ist kšstlich.	1	255037	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
261,078	4	44OG	38	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	261078	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
271,112	4	44OG	39	350	######## ########## ##### ############ #### ## ######	3	271112	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,158	4	44OG	40	310	### ############ ##### ### #### #### ######### #######	3	282158	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,199	6	44OG	41	403	Hast du gerade Rautenzeichen gesehen?	4	293199	Ja	4823	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,23	4	44OG	42	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	302230	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
311,275	6	44OG	43	404	Ist die Tante nett zu armen Menschen?	4	311275	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,317	4	44OG	44	354	###### ######### ### ############ ### ####### ###### ###	3	318317	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,356	4	44OG	45	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	325356	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
335,402	4	44OG	46	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	335402	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
340,449	4	44OG	47	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	340449	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
350,488	4	44OG	48	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	350488	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
358,535	4	44OG	49	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	358535	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,575	4	44OG	50	260	Ursula wollte alles vergessen und reiste nach Japan.	2	365575	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
371,621	4	44OG	51	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	371621	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
378,655	6	44OG	52	405	Ging es gerade ums Lernen?	4	378655	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,69	4	44OG	53	207	Der Flugbegleiter heute war wirklich attraktiv!	2	385690	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
390,73	4	44OG	54	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	390730	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
401,77	4	44OG	55	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	401770	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0

