onset	duration	Experiment - Satz_C2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,616	4	36FS	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1616	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,655	4	36FS	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6655	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,695	6	36FS	3	406	Stand er zum Bergsteigen spŠt auf?	4	11695	Nein	3961	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
18,724	4	36FS	4	213	Der vorbestrafte Mann war diesmal unschuldig.	2	18724	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
24,764	4	36FS	5	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	24764	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
34,799	4	36FS	6	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	34799	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
44,845	4	36FS	7	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	44845	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
51,891	4	36FS	8	337	## #### #### ### ##### ########### ###### #########	3	51891	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
58,937	4	36FS	9	334	#### ########### ############## ###### ### ##### ####	3	58937	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
69,983	4	36FS	10	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	69983	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
