onset	duration	Experiment - Satz_C1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,634	4	36FS	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1634	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,668	4	36FS	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6668	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,707	6	36FS	3	401	War er besser als die meisten?	4	11707	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
22,753	4	36FS	4	331	## #### ##### ######### ### ######### ##### #########	3	22753	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
28,788	4	36FS	5	326	###### ####### ######### #### ### ################# ## #########	3	28788	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
38,823	4	36FS	6	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	38823	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
46,869	4	36FS	7	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	46869	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
52,909	4	36FS	8	230	Endlich war Ruhe zwischen den Streitenden.	2	52909	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
63,944	4	36FS	9	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	63944	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
68,985	4	36FS	10	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	68985	keine	0	keine	5,5	3,2	1,1	4,83	2,84	62	11	5,578947	1	0	0	1	2	1	0	0	0
76,025	4	36FS	11	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	76025	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
