onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
155,511	4	34MG	24	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	155511	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
161,552	4	34MG	25	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	161552	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
170,587	4	34MG	26	305	### ### ##### #### ###### ############ ### ###### #####	3	170587	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,622	4	34MG	27	304	### ### #### ########### ############## ######## ### ###	3	180622	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,669	4	34MG	28	212	Das Thema des Matheunterrichts ist schwierig.	2	185669	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
190,708	6	34MG	29	407	Ist es ein leichtes Thema?	4	190708	Nein	2593	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,737	4	34MG	30	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	202737	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
208,784	4	34MG	31	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	208784	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
213,818	4	34MG	32	326	###### ####### ######### #### ### ################# ## #########	3	213818	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,858	4	34MG	33	334	#### ########### ############## ###### ### ##### ####	3	219858	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,893	4	34MG	34	343	##### ########## ###### ### ######## ######## #####	3	229893	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,939	4	34MG	35	260	Ursula wollte alles vergessen und reiste nach Japan.	2	238939	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
246,974	4	34MG	36	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	246974	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,015	4	34MG	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255015	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
261,055	4	34MG	38	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	261055	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
271,09	4	34MG	39	360	##### ###### ##### ##### ######### ### ###### #### #####	3	271090	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,136	4	34MG	40	331	## #### ##### ######### ### ######### ##### #########	3	282136	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,177	6	34MG	41	408	Hast du gerade einen Satz gesehen?	4	293177	Nein	1941	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,224	4	34MG	42	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	302224	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
311,27	6	34MG	43	409	Verlief das GesprŠch gut?	4	311270	Ja	2459	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,312	4	34MG	44	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	318312	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,351	4	34MG	45	108	Der Gesang des Opernstars ist kšstlich.	1	325351	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
335,397	4	34MG	46	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	335397	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
340,443	4	34MG	47	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	340443	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
350,483	4	34MG	48	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	350483	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
358,53	4	34MG	49	354	###### ######### ### ############ ### ####### ###### ###	3	358530	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,57	4	34MG	50	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	365570	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
371,616	4	34MG	51	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	371616	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
378,65	6	34MG	52	410	Sprach er gern Ÿber seine Kindheit?	4	378650	Nein	3309	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,686	4	34MG	53	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	385686	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
390,726	4	34MG	54	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	390726	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
401,765	4	34MG	55	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	401765	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0

