onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
170,617	4	27MC	26	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	170617	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,652	4	27MC	27	330	####### ### ######## ######## ### ###########	3	180652	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,699	4	27MC	28	230	Endlich war Ruhe zwischen den Streitenden.	2	185699	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
190,738	6	27MC	29	402	Hat der Streit aufgehšrt?	4	190738	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,767	4	27MC	30	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	202767	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
208,814	4	27MC	31	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	208814	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
213,848	4	27MC	32	362	###### #### ### #### ######	3	213848	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,888	4	27MC	33	305	### ### ##### #### ###### ############ ### ###### #####	3	219888	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,923	4	27MC	34	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	229923	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,969	4	27MC	35	222	Die Unternehmerin war immer in Eile.	2	238969	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
247,005	4	27MC	36	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	247005	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,045	4	27MC	37	108	Der Gesang des Opernstars ist kšstlich.	1	255045	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
261,086	4	27MC	38	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	261086	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
271,12	4	27MC	39	350	######## ########## ##### ############ #### ## ######	3	271120	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,167	4	27MC	40	310	### ############ ##### ### #### #### ######### #######	3	282167	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,208	6	27MC	41	403	Hast du gerade Rautenzeichen gesehen?	4	293208	Ja	2995	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,239	4	27MC	42	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	302239	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
311,284	6	27MC	43	404	Ist die Tante nett zu armen Menschen?	4	311284	Ja	3988	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,309	4	27MC	44	354	###### ######### ### ############ ### ####### ###### ###	3	318309	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,349	4	27MC	45	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	325349	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
335,395	4	27MC	46	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	335395	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
340,441	4	27MC	47	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	340441	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
350,481	4	27MC	48	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	350481	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
358,528	4	27MC	49	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	358528	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,568	4	27MC	50	260	Ursula wollte alles vergessen und reiste nach Japan.	2	365568	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
371,614	4	27MC	51	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	371614	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
378,648	6	27MC	52	405	Ging es gerade ums Lernen?	4	378648	Ja	3197	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,683	4	27MC	53	207	Der Flugbegleiter heute war wirklich attraktiv!	2	385683	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
390,723	4	27MC	54	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	390723	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
401,763	4	27MC	55	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	401763	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0

