onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
73,024	4	27MC	11	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	73024	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
78,07	4	27MC	12	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	78070	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
83,11	4	27MC	13	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	83110	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
88,15	4	27MC	14	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	88150	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
95,19	4	27MC	15	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	95190	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
103,236	4	27MC	16	311	### #### ### ####### ######## ####### ####################	3	103236	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,276	4	27MC	17	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	108276	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
118,316	4	27MC	18	304	### ### #### ########### ############## ######## ### ###	3	118316	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
127,359	6	27MC	19	407	Hast du einen Satz gelesen?	4	127359	Ja	3249	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
135,387	4	27MC	20	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	135387	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
140,422	4	27MC	21	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	140422	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
146,461	6	27MC	22	408	Ist er gesund?	4	146461	Nein	2778	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
153,502	4	27MC	23	112	Der Stoff des Matheunterrichts ist schwierig.	1	153502	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
160,542	4	27MC	24	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	160542	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
168,588	4	27MC	25	122	Die Unternehmerin stand immer unter Druck.	1	168588	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
173,628	4	27MC	26	318	### ######### #### ##### ######## ##### ######### ### ###	3	173628	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
178,668	4	27MC	27	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	178668	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
187,708	4	27MC	28	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	187708	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
196,743	4	27MC	29	307	### ############# ##### ### ######## #########	3	196743	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
207,778	4	27MC	30	313	### ############ #### ### ####### ########	3	207778	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
213,819	4	27MC	31	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	213819	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
218,854	6	27MC	32	409	Hat er eine schšne Gesichtshaut?	4	218854	Nein	2806	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
231,883	4	27MC	33	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	231883	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
237,924	4	27MC	34	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	237924	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
242,959	4	27MC	35	343	##### ########## ###### ### ######## ######## #####	3	242959	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
250,999	4	27MC	36	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	250999	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
260,039	4	27MC	37	208	Der Gesang des Opernstars ist wunderschšn.	2	260039	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
266,074	4	27MC	38	347	### #### ######## ###### ###### ### ###### ########## ###	3	266074	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
275,109	4	27MC	39	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	275109	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
280,144	4	27MC	40	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	280144	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
291,184	4	27MC	41	303	### ####### #### ######### ####### ################ ###########	3	291184	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
299,225	4	27MC	42	312	### ##### ### ################ ### #########	3	299225	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
306,266	4	27MC	43	331	## #### ##### ######### ### ######### ##### #########	3	306266	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
312,312	4	27MC	44	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	312312	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
318,346	4	27MC	45	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	318346	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
326,381	4	27MC	46	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	326381	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
335,421	6	27MC	47	410	Ging es gerade um einen Markt?	4	335421	Ja	2614	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
342,462	4	27MC	48	213	Der vorbestrafte Mann war diesmal unschuldig.	2	342462	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
352,502	4	27MC	49	337	## #### #### ### ##### ########### ###### #########	3	352502	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
362,549	4	27MC	50	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	362549	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
369,595	4	27MC	51	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	369595	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
376,641	4	27MC	52	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	376641	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
384,687	4	27MC	53	357	##### #### ############## ##### #### ######## #########	3	384687	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
391,727	4	27MC	54	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	391727	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
396,773	4	27MC	55	162	Dieser Mann ist ein echter Leckerbissen.	1	396773	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0

