onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,627	4	27MC	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1627	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,667	4	27MC	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6667	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,707	6	27MC	3	406	Geht er sorgsam mit Geld um?	4	11707	Ja	2838	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
19,753	4	27MC	4	322	### ############## ### ##### ### ####	3	19753	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
26,787	4	27MC	5	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	26787	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
32,833	4	27MC	6	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	32833	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
37,868	4	27MC	7	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	37868	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
47,907	4	27MC	8	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	47907	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
56,954	4	27MC	9	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	56954	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
62,989	4	27MC	10	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	62989	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
