onset	duration	Experiment - Satz_C2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
137,422	4	43FD	20	208	Der Gesang des Opernstars ist wunderschšn.	2	137422	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
142,456	4	43FD	21	112	Der Stoff des Matheunterrichts ist schwierig.	1	142456	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
150,496	4	43FD	22	162	Dieser Mann ist ein echter Leckerbissen.	1	150496	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
157,536	4	43FD	23	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	157536	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
167,582	6	43FD	24	408	Hat sie besonders tiefgrŸndig reagiert?	4	167582	Nein	3938	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
175,634	4	43FD	25	360	##### ###### ##### ##### ######### ### ###### #### #####	3	175634	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,669	4	43FD	26	347	### #### ######## ###### ###### ### ###### ########## ###	3	180669	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
188,709	4	43FD	27	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	188709	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
194,749	4	43FD	28	330	####### ### ######## ######## ### ###########	3	194749	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
200,784	4	43FD	29	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	200784	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
205,818	4	43FD	30	318	### ######### #### ##### ######## ##### ######### ### ###	3	205818	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
210,858	4	43FD	31	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	210858	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,897	4	43FD	32	322	### ############## ### ##### ### ####	3	216897	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
223,932	4	43FD	33	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	223932	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
229,978	4	43FD	34	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	229978	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
235,012	4	43FD	35	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	235012	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
244,052	4	43FD	36	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	244052	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
255,087	4	43FD	37	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	255087	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
264,128	4	43FD	38	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	264128	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
275,163	4	43FD	39	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	275163	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
282,204	4	43FD	40	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	282204	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
291,25	4	43FD	41	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	291250	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
296,285	6	43FD	42	409	Hatte er eine ebene Gesichtshaut?	4	296285	Nein	2500	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
307,331	4	43FD	43	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	307331	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
312,366	4	43FD	44	312	### ##### ### ################ ### #########	3	312366	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,406	4	43FD	45	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	318406	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
324,44	4	43FD	46	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	324440	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
334,475	4	43FD	47	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	334475	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
340,521	4	43FD	48	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	340521	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
345,556	4	43FD	49	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	345556	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
355,595	4	43FD	50	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	355595	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
361,642	6	43FD	51	410	Hast du gerade Rauten gesehen?	4	361642	warning	3204	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
374,682	4	43FD	52	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	374682	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
384,723	4	43FD	53	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	384723	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
390,77	4	43FD	54	122	Die Unternehmerin stand immer unter Druck.	1	390770	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
397,804	4	43FD	55	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	397804	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0

