onset	duration	Experiment - Satz_C2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,624	4	43FD	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1624	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,664	4	43FD	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6664	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,704	6	43FD	3	406	Stand er zum Bergsteigen spŠt auf?	4	11704	Nein	2452	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
18,75	4	43FD	4	213	Der vorbestrafte Mann war diesmal unschuldig.	2	18750	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
24,789	4	43FD	5	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	24789	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
34,824	4	43FD	6	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	34824	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
44,87	4	43FD	7	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	44870	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
51,917	4	43FD	8	337	## #### #### ### ##### ########### ###### #########	3	51917	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
58,962	4	43FD	9	334	#### ########### ############## ###### ### ##### ####	3	58962	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
70,008	4	43FD	10	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	70008	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
75,049	6	43FD	11	407	War die Kaffeemaschine praktisch?	4	75049	Ja	2647	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
83,095	4	43FD	12	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	83095	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
88,129	4	43FD	13	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	88129	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
98,169	4	43FD	14	362	###### #### ### #### ######	3	98169	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
103,216	4	43FD	15	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	103216	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
108,255	4	43FD	16	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	108255	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
116,295	4	43FD	17	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	116295	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
126,336	4	43FD	18	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	126336	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
131,382	4	43FD	19	311	### #### ### ####### ######## ####### ####################	3	131382	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
