onset	duration	Experiment - Satz_C1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,637	4	43FD	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1637	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,671	4	43FD	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6671	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,711	6	43FD	3	401	War er besser als die meisten?	4	11711	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
22,74	4	43FD	4	331	## #### ##### ######### ### ######### ##### #########	3	22740	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
28,775	4	43FD	5	326	###### ####### ######### #### ### ################# ## #########	3	28775	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
38,81	4	43FD	6	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	38810	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
46,856	4	43FD	7	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	46856	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
52,896	4	43FD	8	230	Endlich war Ruhe zwischen den Streitenden.	2	52896	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
63,931	4	43FD	9	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	63931	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
68,972	4	43FD	10	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	68972	keine	0	keine	5,5	3,2	1,1	4,83	2,84	62	11	5,578947	1	0	0	1	2	1	0	0	0
76,012	4	43FD	11	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	76012	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
81,057	4	43FD	12	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	81057	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
86,097	4	43FD	13	260	Ursula wollte alles vergessen und reiste nach Japan.	2	86097	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
96,137	4	43FD	14	207	Der Flugbegleiter heute war wirklich attraktiv!	2	96137	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
104,183	4	43FD	15	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	104183	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
110,223	4	43FD	16	313	### ############ #### ### ####### ########	3	110223	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
115,258	4	43FD	17	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	115258	keine	0	keine	4,89	2,25	0,4	4,26	2,68	61	11	4,157895	0	0	0	0	1	2	0	0	1
121,298	4	43FD	18	350	######## ########## ##### ############ #### ## ######	3	121298	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
126,332	6	43FD	19	402	Hast du gerade einen Satz gelesen?	4	126332	warning	2423	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
135,378	4	43FD	20	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	135378	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
141,424	4	43FD	21	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	141424	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
147,458	6	43FD	22	403	Schien es ihr egal zu sein?	4	147458	Ja	3794	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
157,482	4	43FD	23	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	157482	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
163,522	4	43FD	24	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	163522	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
173,557	4	43FD	25	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	173557	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
180,603	4	43FD	26	305	### ### ##### #### ###### ############ ### ###### #####	3	180603	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
190,649	4	43FD	27	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	190649	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
197,695	4	43FD	28	113	Der vorbestrafte Mann war diesmal sauber.	1	197695	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
206,741	4	43FD	29	307	### ############# ##### ### ######## #########	3	206741	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
211,776	4	43FD	30	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	211776	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,816	4	43FD	31	262	Dieser Mann ist echt hŸbsch.	2	219816	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
225,856	6	43FD	32	404	Sieht der Mann schlecht aus?	4	225856	Nein	2159	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
234,897	4	43FD	33	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	234897	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
239,943	4	43FD	34	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	239943	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
249,982	4	43FD	35	343	##### ########## ###### ### ######## ######## #####	3	249982	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
261,029	4	43FD	36	319	### ###### ####### ###### ##### ####### ########### ######	3	261029	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
267,07	4	43FD	37	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	267070	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
272,104	4	43FD	38	303	### ####### #### ######### ####### ################ ###########	3	272104	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
279,144	4	43FD	39	212	Das Thema des Matheunterrichts ist schwierig.	2	279144	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
290,19	4	43FD	40	310	### ############ ##### ### #### #### ######### #######	3	290190	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
298,231	4	43FD	41	357	##### #### ############## ##### #### ######## #########	3	298231	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
306,271	4	43FD	42	354	###### ######### ### ############ ### ####### ###### ###	3	306271	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
311,312	4	43FD	43	359	###### ### ###### #### ### ########## ### ####### #######	3	311312	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
320,352	4	43FD	44	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	320352	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
330,386	4	43FD	45	108	Der Gesang des Opernstars ist kšstlich.	1	330386	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
335,433	4	43FD	46	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	335433	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
344,473	6	43FD	47	405	Spricht er gerne Ÿber seine Kindheit?	4	344473	Nein	1977	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
351,514	4	43FD	48	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	351514	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
357,554	4	43FD	49	304	### ### #### ########### ############## ######## ### ###	3	357554	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,588	4	43FD	50	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	365588	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
371,628	4	43FD	51	222	Die Unternehmerin war immer in Eile.	2	371628	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
378,663	4	43FD	52	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	378663	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
388,709	4	43FD	53	308	### ###### ### ########## ### ##########	3	388709	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
393,755	4	43FD	54	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	393755	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
403,795	4	43FD	55	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	403795	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0

