participant_id	unknow_metaphors
sub-01	104, 119, 107, 110, 157, 204, 219, 207, 210, 257
sub-02	104, 110, 122, 204, 210, 222
sub-03	157, 154, 139, 162, 147, 104, 113, 111, 149, 107, 108, 146, 103, 110, 257, 254, 239, 262, 247, 204, 213, 211, 249, 207, 208, 246, 203, 210
sub-04	112, 139, 149, 110, 212, 239, 249, 210
sub-05	154, 130, 139, 162, 104, 119, 111, 149, 107, 134, 110, 117, 150, 157, 254, 230, 239, 262, 204, 219, 211, 249, 207, 234, 210, 217, 250, 257
sub-06	154, 130, 147, 162, 104, 119, 113, 134, 110, 148, 157, 254, 230, 247, 262, 204, 219, 213, 234, 210, 248, 257
sub-07	139, 162, 107, 134, 110, 157, 239, 262, 207, 234, 210, 257
sub-08	154, 162, 104, 111, 149, 110, 160, 157, 254, 262, 204, 211, 249, 210, 260, 257
sub-09	139, 110, 239, 210
sub-10	110, 210
sub-11	154, 139, 105, 147, 162, 118, 104, 119, 113, 111, 149, 107, 108, 134, 103, 110, 117, 122, 150, 148, 157, 254, 239, 205, 247, 262, 218, 204, 219, 213, 211, 249, 207, 208, 234, 203, 210, 217, 222, 250, 248, 257
sub-12	154, 130, 139, 105, 104, 119, 159, 108, 103, 110, 122, 157, 254, 230, 239, 205, 204, 219, 259, 208, 203, 210, 222, 257
sub-13	139, 104, 119, 131, 110, 117, 122, 157, 239, 204, 219, 231, 210, 217, 222, 257
sub-14	139, 162, 104, 239, 262, 204
sub-15	157, 110, 117, 139, 257, 210, 217, 239
sub-16	110, 139, 157, 210, 239, 257
sub-17	154, 119, 107, 110, 254, 219, 207, 210
sub-18	112, 144, 139, 104, 119, 113, 131, 146, 110, 117, 212, 244, 239, 204, 219, 213, 231, 246, 210, 217
sub-19	None
sub-20	110, 117, 139, 154, 157, 210, 217, 239, 254, 257
sub-21	147, 162, 149, 107, 108, 110, 157, 247, 262, 249, 207, 208, 210, 257
sub-22	112, 139, 105, 147, 162, 113, 107, 110, 157, 212, 239, 205, 247, 262, 213, 207, 210, 257
