onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,627	4	40BB	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1627	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,664	4	40BB	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6664	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,704	6	40BB	3	406	Geht er sorgsam mit Geld um?	4	11704	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
19,75	4	40BB	4	322	### ############## ### ##### ### ####	3	19750	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
26,784	4	40BB	5	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	26784	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
32,833	4	40BB	6	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	32833	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
37,864	4	40BB	7	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	37864	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
47,904	4	40BB	8	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	47904	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
56,951	4	40BB	9	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	56951	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
62,986	4	40BB	10	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	62986	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
73,021	4	40BB	11	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	73021	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
78,067	4	40BB	12	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	78067	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
83,106	4	40BB	13	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	83106	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
88,146	4	40BB	14	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	88146	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
95,186	4	40BB	15	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	95186	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
103,232	4	40BB	16	311	### #### ### ####### ######## ####### ####################	3	103232	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,272	4	40BB	17	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	108272	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
118,312	4	40BB	18	304	### ### #### ########### ############## ######## ### ###	3	118312	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
127,358	6	40BB	19	407	Hast du einen Satz gelesen?	4	127358	Ja	2988	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
135,4	4	40BB	20	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	135400	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
140,434	4	40BB	21	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	140434	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
146,474	6	40BB	22	408	Ist er gesund?	4	146474	Ja	3472	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
153,498	4	40BB	23	112	Der Stoff des Matheunterrichts ist schwierig.	1	153498	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
160,538	4	40BB	24	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	160538	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
168,583	4	40BB	25	122	Die Unternehmerin stand immer unter Druck.	1	168583	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
173,624	4	40BB	26	318	### ######### #### ##### ######## ##### ######### ### ###	3	173624	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
178,663	4	40BB	27	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	178663	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
187,703	4	40BB	28	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	187703	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
196,738	4	40BB	29	307	### ############# ##### ### ######## #########	3	196738	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
207,774	4	40BB	30	313	### ############ #### ### ####### ########	3	207774	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
213,815	4	40BB	31	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	213815	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
218,849	6	40BB	32	409	Hat er eine schšne Gesichtshaut?	4	218849	Nein	2188	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
231,878	4	40BB	33	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	231878	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
237,92	4	40BB	34	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	237920	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
242,954	4	40BB	35	343	##### ########## ###### ### ######## ######## #####	3	242954	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
250,994	4	40BB	36	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	250994	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
260,034	4	40BB	37	208	Der Gesang des Opernstars ist wunderschšn.	2	260034	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
266,069	4	40BB	38	347	### #### ######## ###### ###### ### ###### ########## ###	3	266069	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
275,104	4	40BB	39	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	275104	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
280,139	4	40BB	40	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	280139	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
291,179	4	40BB	41	303	### ####### #### ######### ####### ################ ###########	3	291179	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
299,22	4	40BB	42	312	### ##### ### ################ ### #########	3	299220	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
306,26	4	40BB	43	331	## #### ##### ######### ### ######### ##### #########	3	306260	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
312,306	4	40BB	44	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	312306	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
318,341	4	40BB	45	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	318341	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
326,375	4	40BB	46	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	326375	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
335,416	6	40BB	47	410	Ging es gerade um einen Markt?	4	335416	Ja	2529	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
342,44	4	40BB	48	213	Der vorbestrafte Mann war diesmal unschuldig.	2	342440	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
352,48	4	40BB	49	337	## #### #### ### ##### ########### ###### #########	3	352480	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
362,526	4	40BB	50	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	362526	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
369,573	4	40BB	51	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	369573	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
376,619	4	40BB	52	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	376619	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
384,664	4	40BB	53	357	##### #### ############## ##### #### ######## #########	3	384664	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
391,705	4	40BB	54	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	391705	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
396,75	4	40BB	55	162	Dieser Mann ist ein echter Leckerbissen.	1	396750	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0

