onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,631	4	42PP	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1631	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,671	4	42PP	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6671	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,711	4	42PP	3	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	11711	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
16,75	4	42PP	4	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	16750	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
22,79	4	42PP	5	113	Der vorbestrafte Mann war diesmal sauber.	1	22790	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
27,825	4	42PP	6	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	27825	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
35,864	4	42PP	7	310	### ############ ##### ### #### #### ######### #######	3	35864	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
42,905	4	42PP	8	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	42905	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
50,951	4	42PP	9	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	50951	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
55,991	4	42PP	10	347	### #### ######## ###### ###### ### ###### ########## ###	3	55991	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
