onset	duration	Experiment - Satz_D1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,619	4	46DG	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1619	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,659	4	46DG	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6659	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,699	4	46DG	3	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	11699	keine	0	keine	3.67	4.85	1.7	4.26	4.74	49	9	6.105.263	0	0	0	0	1	1	0	0	0
17,739	4	46DG	4	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	17739	keine	0	keine	5.17	3.8	-0.5	4.26	1.58	48	7	4.421.053	0	0	0	1	1	1	0	0	0
24,773	4	46DG	5	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	24773	keine	0	keine	2.72	4.1	1.1	5.05	2.32	61	10	5.789.474	0	0	0	0	1	1	0	1	0
30,819	4	46DG	6	144	Meine Tante hat ein weiches Herz. sie kocht freiwillig fŸr Obdachlose.	1	30819	keine	0	keine	5.5	3.2	1.1	4.83	2.84	60	11	5.578.947	1	0	0	1	2	1	0	0	0
35,853	4	46DG	7	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	35853	keine	0	keine	4.44	3.65	-0.2	4.95	3.89	57	9	6.736.842	0	0	0	0	1	1	0	1	1
45,893	6	46DG	8	401	War er frohen Mutes?	4	45893	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
56,946	4	46DG	9	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	56946	keine	0	keine	4.44	4.65	-1.9	4.37	4.11	51	11	4.368.421	1	0	0	0	1	0	0	0	0
62,981	4	46DG	10	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	62981	keine	0	keine	4.5	2.65	1.3	4.21	1.79	58	9	5.842.105	0	0	0	0	1	1	0	1	0
73,015	4	46DG	11	101	Ach. was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	73015	keine	0	keine	4.5	1.95	-0.1	4.89	2.79	57	11	5.736.842	0	0	0	1	1	1	0	0	1
78,062	4	46DG	12	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	78062	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
83,102	4	46DG	13	159	Linda war nervšs. aber die PrŠsentation lief absolut glatt.	1	83102	keine	0	keine	4.22	3.65	1.5	5.16	4.74	51	9	5.947.368	1	0	0	0	1	1	0	0	0
88,141	4	46DG	14	362	###### #### ### #### ######	3	88141	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
95,181	4	46DG	15	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	95181	keine	0	keine	6.12	3.6	0.6	5.37	1.53	49	8	5.947.368	0	0	0	1	1	1	0	0	0
103,227	4	46DG	16	308	### ###### ### ########## ### ##########	3	103227	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,267	6	46DG	17	402	Hast du gerade einen Satz gelesen?	4	108267	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
120,296	4	46DG	18	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	120296	keine	0	keine	3.06	3.55	1.2	4.89	1.32	50	8	5.833.333	0	0	0	1	1	1	0	1	0
129,343	4	46DG	19	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	129343	keine	0	keine	3.17	3.95	-1.3	4.42	1.89	56	7	6.210.526	0	0	0	1	1	2	0	0	0
135,378	4	46DG	20	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	135378	keine	0	keine	3.44	4	1.7	5.26	1.74	49	8	3.315.789	0	0	0	1	1	2	0	0	0
140,412	4	46DG	21	359	###### ### ###### #### ### ########## ### ####### #######	3	140412	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
146,452	4	46DG	22	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	146452	keine	0	keine	3.28	4.35	1.5	4.68	2.21	47	9	5.368.421	0	0	0	1	1	2	0	0	0
151,487	4	46DG	23	319	### ###### ####### ###### ##### ####### ########### ######	3	151487	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
158,526	4	46DG	24	213	Der vorbestrafte Mann war diesmal unschuldig.	2	158526	keine	0	keine	2.78	5.25	1.8	4.79	2.47	40	6	6.052.632	0	0	0	1	1	1	0	0	0
166,572	4	46DG	25	230	Endlich war Ruhe zwischen den Streitenden.	2	166572	keine	0	keine	4	2.2	0.7	4.95	1.32	37	6	4.578.947	0	0	0	1	1	1	0	0	0
171,613	4	46DG	26	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	171613	keine	0	keine	3.33	3.8	1.4	5.05	3.63	51	8	6.263.158	0	0	0	0	1	1	0	0	0
176,653	4	46DG	27	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	176653	keine	0	keine	3.5	4.7	-1.7	5.32	3.58	59	10	5.894.737	0	0	0	1	1	2	0	0	0
185,693	4	46DG	28	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	185693	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
194,728	4	46DG	29	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	194728	keine	0	keine	2.33	4.7	1.6	5.05	5.37	48	8	6	0	0	0	0	1	0	0	0	0
205,763	4	46DG	30	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	205763	keine	0	keine	4.59	4.2	-0.5	4.63	1.89	53	7	6.111.111	0	0	0	1	1	1	0	0	0
211,804	4	46DG	31	313	### ############ #### ### ####### ########	3	211804	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,838	4	46DG	32	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	216838	keine	0	keine	4.06	3.4	0.1	4.11	1.63	48	9	5.315.789	0	0	0	0	1	1	0	0	0
227,878	6	46DG	33	403	Sprach er gerne Ÿber seine Kindheit?	4	227878	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
235,925	4	46DG	34	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	235925	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
240,96	4	46DG	35	303	### ####### #### ######### ####### ################ ###########	3	240960	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
249	4	46DG	36	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	249000	keine	0	keine	4.44	4.4	0.9	4.37	3.47	59	8	4.736.842	0	0	0	1	1	0	0	0	0
258,04	4	46DG	37	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	258040	keine	0	keine	4.89	2.25	0.4	4.26	2.68	56	11	4.157.895	0	0	0	0	1	2	0	0	1
264,075	4	46DG	38	162	Dieser Mann ist ein echter Leckerbissen.	1	264075	keine	0	keine	3.818.182	4	2	3.636.364	6.363.636	34	6	6.181.818	0	0	1	0	2	1	0	0	0
273,11	4	46DG	39	307	### ############# ##### ### ######## #########	3	273110	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
278,145	4	46DG	40	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	278145	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
289,184	4	46DG	41	207	Der Flugbegleiter heute war wirklich attraktiv!	2	289184	keine	0	keine	5.18	5.5	-0.6	3.84	3.53	42	6	6.526.316	0	0	0	1	1	2	0	0	0
297,226	4	46DG	42	330	####### ### ######## ######## ### ###########	3	297226	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
304,266	4	46DG	43	318	### ######### #### ##### ######## ##### ######### ### ###	3	304266	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
310,312	4	46DG	44	312	### ##### ### ################ ### #########	3	310312	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
316,346	4	46DG	45	122	Die Unternehmerin stand immer unter Druck.	1	316346	keine	0	keine	3.33	3.35	-0.6	5.05	2.95	37	6	4.157.895	0	0	0	0	1	1	0	0	0
324,381	4	46DG	46	112	Der Stoff des Matheunterrichts ist schwierig.	1	324381	keine	0	keine	2.89	4.5	-0.5	4.26	3.42	40	6	5.315.789	0	0	0	1	1	1	0	0	0
333,421	4	46DG	47	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	333421	keine	0	keine	5.22	4.65	-1.4	4.74	5.21	59	8	5.111.111	0	0	0	1	1	2	0	0	0
338,456	6	46DG	48	404	Ging es gerade um Wahlkampf?	4	338456	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
350,486	4	46DG	49	311	### #### ### ####### ######## ####### ####################	3	350486	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
360,532	4	46DG	50	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	360532	keine	0	keine	3.72	2.25	1.1	4.79	1.74	49	7	6.222.222	0	0	0	1	1	1	0	0	0
367,578	4	46DG	51	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	367578	keine	0	keine	5.72	5.1	-1.7	4.53	2	46	9	6.263.158	0	0	0	0	1	1	0	0	0
374,624	6	46DG	52	405	Hat der Kaffee geschmeckt?	4	374624	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
384,676	4	46DG	53	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	384676	keine	0	keine	5.89	3.9	1.2	5.26	3.58	49	8	5.263.158	0	0	0	1	1	1	0	0	0
391,716	4	46DG	54	208	Der Gesang des Opernstars ist wunderschšn.	2	391716	keine	0	keine	4.72	4.2	-0.6	4.16	3.42	37	6	5.5	0	0	0	1	1	1	0	0	0
396,762	4	46DG	55	350	######## ########## ##### ############ #### ## ######	3	396762	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99



