onset	duration	Experiment - Satz_B1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	WÌ¦rter	Similarity	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
180,632	4	28SM	27	330	####### ### ######## ######## ### ###########	3	180632	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,678	4	28SM	28	230	Endlich war Ruhe zwischen den Streitenden.	2	185678	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
190,718	6	28SM	29	402	Hat der Streit aufgehšrt?	4	190718	Ja	2767	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,764	4	28SM	30	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	202764	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
208,81	4	28SM	31	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	208810	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
213,844	4	28SM	32	362	###### #### ### #### ######	3	213844	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,884	4	28SM	33	305	### ### ##### #### ###### ############ ### ###### #####	3	219884	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,918	4	28SM	34	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	229918	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,964	4	28SM	35	222	Die Unternehmerin war immer in Eile.	2	238964	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
247	4	28SM	36	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	247000	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,04	4	28SM	37	108	Der Gesang des Opernstars ist kšstlich.	1	255040	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
261,08	4	28SM	38	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	261080	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
271,115	4	28SM	39	350	######## ########## ##### ############ #### ## ######	3	271115	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,161	4	28SM	40	310	### ############ ##### ### #### #### ######### #######	3	282161	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,202	6	28SM	41	403	Hast du gerade Rautenzeichen gesehen?	4	293202	warning	3974	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,249	4	28SM	42	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	302249	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
311,295	6	28SM	43	404	Ist die Tante nett zu armen Menschen?	4	311295	Ja	5415	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,336	4	28SM	44	354	###### ######### ### ############ ### ####### ###### ###	3	318336	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,375	4	28SM	45	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	325375	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
335,421	4	28SM	46	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	335421	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
340,467	4	28SM	47	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	340467	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
350,507	4	28SM	48	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	350507	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
358,553	4	28SM	49	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	358553	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,594	4	28SM	50	260	Ursula wollte alles vergessen und reiste nach Japan.	2	365594	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
371,64	4	28SM	51	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	371640	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
378,674	6	28SM	52	405	Ging es gerade ums Lernen?	4	378674	Ja	3757	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,725	4	28SM	53	207	Der Flugbegleiter heute war wirklich attraktiv!	2	385725	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
390,765	4	28SM	54	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	390765	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
401,805	4	28SM	55	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	401805	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0

