onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,63	4	47CB	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1630	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,67	4	47CB	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6670	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,71	6	47CB	3	406	Geht er sorgsam mit Geld um?	4	11710	Nein	3200	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
19,755	4	47CB	4	322	### ############## ### ##### ### ####	3	19755	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
26,79	4	47CB	5	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	26790	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
32,835	4	47CB	6	244	Meine Tante hat ein gutes Herz. sie kocht freiwillig fŸr Obdachlose.	2	32835	keine	0	keine	5.22	3.3	1	5.05	1.95	58	11	5.578.947	1	0	0	1	2	1	0	0	0
37,87	4	47CB	7	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	37870	keine	0	keine	2.72	4.1	1.1	5.05	2.32	61	10	5.789.474	0	0	0	0	1	1	0	1	0
47,91	4	47CB	8	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	47910	keine	0	keine	3.06	3.55	1.2	4.89	1.32	50	8	5.833.333	0	0	0	1	1	1	0	1	0
56,956	4	47CB	9	101	Ach. was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	56956	keine	0	keine	4.5	1.95	-0.1	4.89	2.79	57	11	5.736.842	0	0	0	1	1	1	0	0	1
62,991	4	47CB	10	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	62991	keine	0	keine	2.67	4.05	1.4	2.74	4.95	50	8	3.315.789	0	0	0	1	1	2	0	0	0
73,026	4	47CB	11	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	73026	keine	0	keine	2.89	4.9	-0.9	5.58	1.68	64	10	5.894.737	0	0	0	1	1	2	0	0	0
78,073	4	47CB	12	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	78073	keine	0	keine	3.67	4.85	1.7	4.26	4.74	49	9	6.105.263	0	0	0	0	1	1	0	0	0
83,112	4	47CB	13	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	83112	keine	0	keine	5.17	3.8	-0.5	4.26	1.58	48	7	4.421.053	0	0	0	1	1	1	0	0	0
