onset	duration	Experiment - Satz_A2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,616	4	45CR	1	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	1616	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,656	4	45CR	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6656	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,695	4	45CR	3	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	11695	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
20,735	4	45CR	4	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	20735	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
26,77	4	45CR	5	212	Das Thema des Matheunterrichts ist schwierig.	2	26770	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
36,805	4	45CR	6	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	36805	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
44,851	4	45CR	7	108	Der Gesang des Opernstars ist kšstlich.	1	44851	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
50,891	6	45CR	8	406	Bezog sich der letzte Satz auf Musik?	4	50891	Ja	3813	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
63,932	4	45CR	9	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	63932	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
68,973	4	45CR	10	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	68973	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
76,013	4	45CR	11	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	76013	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
