onset	duration	Experiment - Satz_A2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
81,058	4	45CR	12	362	###### #### ### #### ######	3	81058	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
86,098	4	45CR	13	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	86098	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
96,138	4	45CR	14	343	##### ########## ###### ### ######## ######## #####	3	96138	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
104,184	4	45CR	15	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	104184	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
110,225	4	45CR	16	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	110225	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
115,259	6	45CR	17	407	Hast du gerade einen Satz gelesen?	4	115259	Nein	3112	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
123,288	4	45CR	18	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	123288	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
128,323	4	45CR	19	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	128323	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
135,362	4	45CR	20	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	135362	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
141,408	4	45CR	21	311	### #### ### ####### ######## ####### ####################	3	141408	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
147,442	4	45CR	22	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	147442	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
155,477	4	45CR	23	319	### ###### ####### ###### ##### ####### ########### ######	3	155477	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
161,517	4	45CR	24	213	Der vorbestrafte Mann war diesmal unschuldig.	2	161517	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
171,552	4	45CR	25	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	171552	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
178,598	4	45CR	26	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	178598	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
188,644	4	45CR	27	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	188644	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
195,69	4	45CR	28	350	######## ########## ##### ############ #### ## ######	3	195690	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
204,736	4	45CR	29	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	204736	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
209,771	4	45CR	30	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	209771	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
217,811	4	45CR	31	334	#### ########### ############## ###### ### ##### ####	3	217811	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
223,851	4	45CR	32	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	223851	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
230,885	6	45CR	33	408	Ging es gerade ums Kochen?	4	230885	warning	2986	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
237,921	4	45CR	34	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	237921	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
247,96	4	45CR	35	326	###### ####### ######### #### ### ################# ## #########	3	247960	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
259,006	4	45CR	36	122	Die Unternehmerin stand immer unter Druck.	1	259006	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
265,048	4	45CR	37	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	265048	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
270,082	4	45CR	38	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	270082	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
277,122	4	45CR	39	308	### ###### ### ########## ### ##########	3	277122	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
288,168	4	45CR	40	357	##### #### ############## ##### #### ######## #########	3	288168	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
296,209	4	45CR	41	230	Endlich war Ruhe zwischen den Streitenden.	2	296209	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
304,249	4	45CR	42	305	### ### ##### #### ###### ############ ### ###### #####	3	304249	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
309,289	4	45CR	43	347	### #### ######## ###### ###### ### ###### ########## ###	3	309289	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,329	4	45CR	44	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	318329	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
328,364	4	45CR	45	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	328364	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
333,411	4	45CR	46	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	333411	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
342,45	4	45CR	47	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	342450	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
347,485	6	45CR	48	409	Ging es im letzten Satz um Eiscreme?	4	347485	Nein	3398	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
355,515	4	45CR	49	318	### ######### #### ##### ######## ##### ######### ### ###	3	355515	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
363,549	4	45CR	50	262	Dieser Mann ist echt hŸbsch.	2	363549	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
369,589	4	45CR	51	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	369589	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
376,624	6	45CR	52	410	Ging es eben um Kleidungsstoffe?	4	376624	warning	2625	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
388,675	4	45CR	53	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	388675	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
393,722	4	45CR	54	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	393722	keine	0	keine	4,89	2,25	0,4	4,26	2,68	56	11	4,157895	0	0	0	0	1	2	0	0	1
403,761	4	45CR	55	337	## #### #### ### ##### ########### ###### #########	3	403761	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99


