onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
210,829	4	45CR	31	354	###### ######### ### ############ ### ####### ###### ###	3	210829	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
216,869	4	45CR	32	310	### ############ ##### ### #### #### ######### #######	3	216869	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
223,903	4	45CR	33	162	Dieser Mann ist ein echter Leckerbissen.	1	223903	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
229,949	4	45CR	34	222	Die Unternehmerin war immer in Eile.	2	229949	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
234,983	4	45CR	35	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	234983	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
244,023	4	45CR	36	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	244023	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
255,058	4	45CR	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255058	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
264,099	4	45CR	38	312	### ##### ### ################ ### #########	3	264099	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
275,134	4	45CR	39	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	275134	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
282,175	4	45CR	40	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	282175	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
291,221	4	45CR	41	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	291221	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
296,256	6	45CR	42	404	War das GesprŠch negativ ausgegangen?	4	296256	Nein	3295	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
307,302	4	45CR	43	322	### ############## ### ##### ### ####	3	307302	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
312,337	4	45CR	44	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	312337	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
318,377	4	45CR	45	307	### ############# ##### ### ######## #########	3	318377	keine	0	keine	99	99	99	99	99	41	6	99	99	99	99	99	99	99	99	99	99
324,411	4	45CR	46	260	Ursula wollte alles vergessen und reiste nach Japan.	2	324411	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
334,446	4	45CR	47	208	Der Gesang des Opernstars ist wunderschšn.	2	334446	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
340,492	4	45CR	48	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	340492	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
345,526	4	45CR	49	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	345526	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
355,566	4	45CR	50	360	##### ###### ##### ##### ######### ### ###### #### #####	3	355566	keine	0	keine	99	99	99	99	99	48	9	99	99	99	99	99	99	99	99	99	99
361,612	6	45CR	51	405	Hast du gerade einen Satz gelesen?	4	361612	Nein	5343	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
374,653	4	45CR	52	113	Der vorbestrafte Mann war diesmal sauber.	1	374653	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
384,694	4	45CR	53	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	384694	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
390,74	4	45CR	54	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	390740	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
397,775	4	45CR	55	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	397775	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0


