onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,633	4	45CR	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1633	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,672	4	45CR	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6672	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,709	6	45CR	3	401	Ging es eben um ein Geschenk?	4	11709	Ja	4002	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
18,739	4	45CR	4	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	18739	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
24,778	4	45CR	5	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	24778	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
34,812	4	45CR	6	359	###### ### ###### #### ### ########## ### ####### #######	3	34812	keine	0	keine	99	99	99	99	99	49	9	99	99	99	99	99	99	99	99	99	99
44,859	4	45CR	7	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	44859	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
51,905	4	45CR	8	304	### ### #### ########### ############## ######## ### ###	3	51905	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
58,951	4	45CR	9	330	####### ### ######## ######## ### ###########	3	58951	keine	0	keine	99	99	99	99	99	40	6	99	99	99	99	99	99	99	99	99	99
69,996	4	45CR	10	112	Der Stoff des Matheunterrichts ist schwierig.	1	69996	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
75,037	6	45CR	11	402	Ging es eben um ein Schulfach?	4	75037	warning	3148	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
83,083	4	45CR	12	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	83083	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
88,118	4	45CR	13	207	Der Flugbegleiter heute war wirklich attraktiv!	2	88118	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
98,157	4	45CR	14	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	98157	keine	0	keine	99	99	99	99	99	59	11	99	99	99	99	99	99	99	99	99	99
103,204	4	45CR	15	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	103204	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
108,243	4	45CR	16	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	108243	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
116,284	4	45CR	17	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	116284	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
126,324	4	45CR	18	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	126324	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
131,37	4	45CR	19	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	131370	keine	0	keine	99	99	99	99	99	58	9	99	99	99	99	99	99	99	99	99	99
137,41	4	45CR	20	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	137410	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
142,444	4	45CR	21	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	142444	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
150,484	4	45CR	22	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	150484	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
157,524	4	45CR	23	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	157524	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
167,57	6	45CR	24	403	War eben von einer positiven Nachricht die Rede?	4	167570	Nein	3155	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
175,606	4	45CR	25	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	175606	keine	0	keine	99	99	99	99	99	59	10	99	99	99	99	99	99	99	99	99	99
180,64	4	45CR	26	313	### ############ #### ### ####### ########	3	180640	keine	0	keine	99	99	99	99	99	37	6	99	99	99	99	99	99	99	99	99	99
188,68	4	45CR	27	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	188680	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
194,721	4	45CR	28	303	### ####### #### ######### ####### ################ ###########	3	194721	keine	0	keine	99	99	99	99	99	57	7	99	99	99	99	99	99	99	99	99	99
200,755	4	45CR	29	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	200755	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
205,789	4	45CR	30	331	## #### ##### ######### ### ######### ##### #########	3	205789	keine	0	keine	99	99	99	99	99	46	8	99	99	99	99	99	99	99	99	99	99
