onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
75,041	6	35LG	11	402	Ging es eben um ein Schulfach?	4	75041	Ja	2477	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
83,07	4	35LG	12	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	83070	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
88,104	4	35LG	13	207	Der Flugbegleiter heute war wirklich attraktiv!	2	88104	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
98,144	4	35LG	14	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	98144	keine	0	keine	99	99	99	99	99	59	11	99	99	99	99	99	99	99	99	99	99
103,19	4	35LG	15	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	103190	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
108,23	4	35LG	16	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	108230	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
116,27	4	35LG	17	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	116270	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
126,31	4	35LG	18	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	126310	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
131,357	4	35LG	19	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	131357	keine	0	keine	99	99	99	99	99	58	9	99	99	99	99	99	99	99	99	99	99
137,397	4	35LG	20	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	137397	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
142,431	4	35LG	21	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	142431	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
150,471	4	35LG	22	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	150471	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
157,511	4	35LG	23	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	157511	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
167,557	6	35LG	24	403	War eben von einer positiven Nachricht die Rede?	4	167557	Nein	3778	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
175,609	4	35LG	25	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	175609	keine	0	keine	99	99	99	99	99	59	10	99	99	99	99	99	99	99	99	99	99
180,644	4	35LG	26	313	### ############ #### ### ####### ########	3	180644	keine	0	keine	99	99	99	99	99	37	6	99	99	99	99	99	99	99	99	99	99
188,684	4	35LG	27	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	188684	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
194,724	4	35LG	28	303	### ####### #### ######### ####### ################ ###########	3	194724	keine	0	keine	99	99	99	99	99	57	7	99	99	99	99	99	99	99	99	99	99
200,759	4	35LG	29	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	200759	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
205,793	4	35LG	30	331	## #### ##### ######### ### ######### ##### #########	3	205793	keine	0	keine	99	99	99	99	99	46	8	99	99	99	99	99	99	99	99	99	99
210,833	4	35LG	31	354	###### ######### ### ############ ### ####### ###### ###	3	210833	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
216,872	4	35LG	32	310	### ############ ##### ### #### #### ######### #######	3	216872	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
223,907	4	35LG	33	162	Dieser Mann ist ein echter Leckerbissen.	1	223907	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
229,953	4	35LG	34	222	Die Unternehmerin war immer in Eile.	2	229953	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
234,987	4	35LG	35	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	234987	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
244,027	4	35LG	36	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	244027	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
255,062	4	35LG	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255062	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
264,103	4	35LG	38	312	### ##### ### ################ ### #########	3	264103	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
275,138	4	35LG	39	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	275138	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
282,179	4	35LG	40	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	282179	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
291,225	4	35LG	41	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	291225	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
296,26	6	35LG	42	404	War das GesprŠch negativ ausgegangen?	4	296260	Nein	1956	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
307,306	4	35LG	43	322	### ############## ### ##### ### ####	3	307306	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
312,341	4	35LG	44	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	312341	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
318,381	4	35LG	45	307	### ############# ##### ### ######## #########	3	318381	keine	0	keine	99	99	99	99	99	41	6	99	99	99	99	99	99	99	99	99	99
324,415	4	35LG	46	260	Ursula wollte alles vergessen und reiste nach Japan.	2	324415	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
334,45	4	35LG	47	208	Der Gesang des Opernstars ist wunderschšn.	2	334450	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
340,496	4	35LG	48	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	340496	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
345,531	4	35LG	49	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	345531	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
355,57	4	35LG	50	360	##### ###### ##### ##### ######### ### ###### #### #####	3	355570	keine	0	keine	99	99	99	99	99	48	9	99	99	99	99	99	99	99	99	99	99
361,617	6	35LG	51	405	Hast du gerade einen Satz gelesen?	4	361617	Nein	2070	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
374,64	4	35LG	52	113	Der vorbestrafte Mann war diesmal sauber.	1	374640	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
384,682	4	35LG	53	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	384682	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
390,728	4	35LG	54	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	390728	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
397,763	4	35LG	55	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	397763	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0

