onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,619	4	35LG	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1619	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,659	4	35LG	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6659	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,695	6	35LG	3	401	Ging es eben um ein Geschenk?	4	11695	Ja	4576	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
18,742	4	35LG	4	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	18742	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
24,781	4	35LG	5	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	24781	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
34,815	4	35LG	6	359	###### ### ###### #### ### ########## ### ####### #######	3	34815	keine	0	keine	99	99	99	99	99	49	9	99	99	99	99	99	99	99	99	99	99
44,862	4	35LG	7	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	44862	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
51,908	4	35LG	8	304	### ### #### ########### ############## ######## ### ###	3	51908	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
58,954	4	35LG	9	330	####### ### ######## ######## ### ###########	3	58954	keine	0	keine	99	99	99	99	99	40	6	99	99	99	99	99	99	99	99	99	99
70	4	35LG	10	112	Der Stoff des Matheunterrichts ist schwierig.	1	70000	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
