onset	duration	Experiment - Satz_A2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
123,295	4	35LG	18	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	123295	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
128,329	4	35LG	19	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	128329	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
135,369	4	35LG	20	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	135369	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
141,414	4	35LG	21	311	### #### ### ####### ######## ####### ####################	3	141414	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
147,449	4	35LG	22	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	147449	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
155,483	4	35LG	23	319	### ###### ####### ###### ##### ####### ########### ######	3	155483	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
161,524	4	35LG	24	213	Der vorbestrafte Mann war diesmal unschuldig.	2	161524	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
171,558	4	35LG	25	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	171558	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
178,605	4	35LG	26	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	178605	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
188,65	4	35LG	27	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	188650	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
195,697	4	35LG	28	350	######## ########## ##### ############ #### ## ######	3	195697	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
204,743	4	35LG	29	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	204743	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
209,778	4	35LG	30	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	209778	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
217,817	4	35LG	31	334	#### ########### ############## ###### ### ##### ####	3	217817	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
223,858	4	35LG	32	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	223858	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
230,892	6	35LG	33	408	Ging es gerade ums Kochen?	4	230892	Ja	2658	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
237,927	4	35LG	34	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	237927	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
247,967	4	35LG	35	326	###### ####### ######### #### ### ################# ## #########	3	247967	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
259,014	4	35LG	36	122	Die Unternehmerin stand immer unter Druck.	1	259014	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
265,055	4	35LG	37	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	265055	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
270,089	4	35LG	38	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	270089	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
277,129	4	35LG	39	308	### ###### ### ########## ### ##########	3	277129	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
288,175	4	35LG	40	357	##### #### ############## ##### #### ######## #########	3	288175	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
296,199	4	35LG	41	230	Endlich war Ruhe zwischen den Streitenden.	2	296199	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
304,24	4	35LG	42	305	### ### ##### #### ###### ############ ### ###### #####	3	304240	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
309,28	4	35LG	43	347	### #### ######## ###### ###### ### ###### ########## ###	3	309280	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,32	4	35LG	44	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	318320	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
328,355	4	35LG	45	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	328355	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
333,401	4	35LG	46	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	333401	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
342,441	4	35LG	47	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	342441	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
347,476	6	35LG	48	409	Ging es im letzten Satz um Eiscreme?	4	347476	Nein	2000	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
355,505	4	35LG	49	318	### ######### #### ##### ######## ##### ######### ### ###	3	355505	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
363,54	4	35LG	50	262	Dieser Mann ist echt hŸbsch.	2	363540	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
369,58	4	35LG	51	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	369580	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
376,615	6	35LG	52	410	Ging es eben um Kleidungsstoffe?	4	376615	Ja	2101	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
388,666	4	35LG	53	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	388666	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
393,713	4	35LG	54	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	393713	keine	0	keine	4,89	2,25	0,4	4,26	2,68	56	11	4,157895	0	0	0	0	1	2	0	0	1
403,753	4	35LG	55	337	## #### #### ### ##### ########### ###### #########	3	403753	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99

