onset	duration	Experiment - Satz_A2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,622	4	35LG	1	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	1622	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,661	4	35LG	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6661	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,701	4	35LG	3	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	11701	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
20,741	4	35LG	4	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	20741	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
26,776	4	35LG	5	212	Das Thema des Matheunterrichts ist schwierig.	2	26776	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
36,811	4	35LG	6	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	36811	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
44,857	4	35LG	7	108	Der Gesang des Opernstars ist kšstlich.	1	44857	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
50,901	6	35LG	8	406	Bezog sich der letzte Satz auf Musik?	4	50901	Nein	2360	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
63,921	4	35LG	9	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	63921	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
68,962	4	35LG	10	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	68962	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
76,002	4	35LG	11	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	76002	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
81,048	4	35LG	12	362	###### #### ### #### ######	3	81048	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
86,088	4	35LG	13	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	86088	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
96,127	4	35LG	14	343	##### ########## ###### ### ######## ######## #####	3	96127	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
104,174	4	35LG	15	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	104174	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
110,214	4	35LG	16	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	110214	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
115,249	6	35LG	17	407	Hast du gerade einen Satz gelesen?	4	115249	Nein	1588	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
