onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,631	4	32MC	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1631	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,668	4	32MC	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6668	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,708	6	32MC	3	406	Geht er sorgsam mit Geld um?	4	11708	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
19,753	4	32MC	4	322	### ############## ### ##### ### ####	3	19753	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
26,788	4	32MC	5	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	26788	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
32,836	4	32MC	6	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	32836	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
37,868	4	32MC	7	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	37868	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
47,908	4	32MC	8	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	47908	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
56,954	4	32MC	9	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	56954	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
62,989	4	32MC	10	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	62989	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
73,024	4	32MC	11	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	73024	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
78,07	4	32MC	12	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	78070	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
83,11	4	32MC	13	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	83110	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
88,15	4	32MC	14	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	88150	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
95,189	4	32MC	15	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	95189	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
