onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
103,235	4	32MC	16	311	### #### ### ####### ######## ####### ####################	3	103235	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,276	4	32MC	17	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	108276	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
118,315	4	32MC	18	304	### ### #### ########### ############## ######## ### ###	3	118315	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
127,362	6	32MC	19	407	Hast du einen Satz gelesen?	4	127362	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
135,386	4	32MC	20	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	135386	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
140,421	4	32MC	21	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	140421	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
146,46	6	32MC	22	408	Ist er gesund?	4	146460	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
153,501	4	32MC	23	112	Der Stoff des Matheunterrichts ist schwierig.	1	153501	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
160,541	4	32MC	24	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	160541	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
168,586	4	32MC	25	122	Die Unternehmerin stand immer unter Druck.	1	168586	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
173,627	4	32MC	26	318	### ######### #### ##### ######## ##### ######### ### ###	3	173627	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
178,667	4	32MC	27	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	178667	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
187,707	4	32MC	28	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	187707	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
196,741	4	32MC	29	307	### ############# ##### ### ######## #########	3	196741	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
207,776	4	32MC	30	313	### ############ #### ### ####### ########	3	207776	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
213,818	4	32MC	31	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	213818	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
218,852	6	32MC	32	409	Hat er eine schšne Gesichtshaut?	4	218852	Ja	1978	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
231,881	4	32MC	33	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	231881	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
237,922	4	32MC	34	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	237922	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
242,957	4	32MC	35	343	##### ########## ###### ### ######## ######## #####	3	242957	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
250,997	4	32MC	36	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	250997	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
260,037	4	32MC	37	208	Der Gesang des Opernstars ist wunderschšn.	2	260037	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
266,072	4	32MC	38	347	### #### ######## ###### ###### ### ###### ########## ###	3	266072	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
275,107	4	32MC	39	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	275107	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
280,142	4	32MC	40	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	280142	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
291,182	4	32MC	41	303	### ####### #### ######### ####### ################ ###########	3	291182	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
299,222	4	32MC	42	312	### ##### ### ################ ### #########	3	299222	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
306,263	4	32MC	43	331	## #### ##### ######### ### ######### ##### #########	3	306263	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
312,309	4	32MC	44	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	312309	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
318,343	4	32MC	45	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	318343	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
326,378	4	32MC	46	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	326378	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
335,418	6	32MC	47	410	Ging es gerade um einen Markt?	4	335418	Nein	3134	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
342,442	4	32MC	48	213	Der vorbestrafte Mann war diesmal unschuldig.	2	342442	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
352,482	4	32MC	49	337	## #### #### ### ##### ########### ###### #########	3	352482	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
362,529	4	32MC	50	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	362529	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
369,575	4	32MC	51	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	369575	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
376,621	4	32MC	52	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	376621	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
384,667	4	32MC	53	357	##### #### ############## ##### #### ######## #########	3	384667	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
391,707	4	32MC	54	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	391707	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
396,753	4	32MC	55	162	Dieser Mann ist ein echter Leckerbissen.	1	396753	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0

