onset	duration	Experiment - Satz_A2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,632	4	31NS	1	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	1632	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,666	4	31NS	2	22	Er achtete stets auf die Preise im Supermarkt.	99	6666	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,706	4	31NS	3	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	11706	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
20,746	4	31NS	4	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	20746	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
26,781	4	31NS	5	212	Das Thema des Matheunterrichts ist schwierig.	2	26781	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
36,815	4	31NS	6	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	36815	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
44,862	4	31NS	7	108	Der Gesang des Opernstars ist kšstlich.	1	44862	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
50,902	6	31NS	8	406	Bezog sich der letzte Satz auf Musik?	4	50902	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
63,942	4	31NS	9	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	63942	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
68,983	4	31NS	10	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	68983	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
76,024	4	31NS	11	146	Nach dem MissverstŠndnis war Irma jetzt in einer haarigen Situation.	1	76024	keine	0	keine	3,5	4,7	-1,7	5,32	3,58	59	10	5,894737	0	0	0	1	1	2	0	0	0
81,069	4	31NS	12	362	###### #### ### #### ######	3	81069	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
86,109	4	31NS	13	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	86109	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
96,148	4	31NS	14	343	##### ########## ###### ### ######## ######## #####	3	96148	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
104,195	4	31NS	15	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	104195	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
110,235	4	31NS	16	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	110235	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
115,27	6	31NS	17	407	Hast du gerade einen Satz gelesen?	4	115270	Nein	4590	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
123,316	4	31NS	18	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	123316	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
128,35	4	31NS	19	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	128350	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
135,387	4	31NS	20	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	135387	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
141,419	4	31NS	21	311	### #### ### ####### ######## ####### ####################	3	141419	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
147,453	4	31NS	22	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	147453	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
