onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
291,214	4	31NS	41	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	291214	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
296,249	6	31NS	42	404	War das GesprŠch negativ ausgegangen?	4	296249	Nein	2719	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
307,295	4	31NS	43	322	### ############## ### ##### ### ####	3	307295	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
312,33	4	31NS	44	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	312330	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
318,37	4	31NS	45	307	### ############# ##### ### ######## #########	3	318370	keine	0	keine	99	99	99	99	99	41	6	99	99	99	99	99	99	99	99	99	99
324,404	4	31NS	46	260	Ursula wollte alles vergessen und reiste nach Japan.	2	324404	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
334,439	4	31NS	47	208	Der Gesang des Opernstars ist wunderschšn.	2	334439	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
340,485	4	31NS	48	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	340485	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
345,52	4	31NS	49	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	345520	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
355,559	4	31NS	50	360	##### ###### ##### ##### ######### ### ###### #### #####	3	355559	keine	0	keine	99	99	99	99	99	48	9	99	99	99	99	99	99	99	99	99	99
361,606	6	31NS	51	405	Hast du gerade einen Satz gelesen?	4	361606	Nein	1948	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
374,646	4	31NS	52	113	Der vorbestrafte Mann war diesmal sauber.	1	374646	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
384,687	4	31NS	53	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	384687	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
390,734	4	31NS	54	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	390734	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
397,768	4	31NS	55	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	397768	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0

