onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,621	4	31NS	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1621	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,661	4	31NS	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6661	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,701	6	31NS	3	401	Ging es eben um ein Geschenk?	4	11701	Ja	2910	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
18,73	4	31NS	4	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	18730	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
24,77	4	31NS	5	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	24770	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
34,805	4	31NS	6	359	###### ### ###### #### ### ########## ### ####### #######	3	34805	keine	0	keine	99	99	99	99	99	49	9	99	99	99	99	99	99	99	99	99	99
44,851	4	31NS	7	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	44851	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
51,897	4	31NS	8	304	### ### #### ########### ############## ######## ### ###	3	51897	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
58,943	4	31NS	9	330	####### ### ######## ######## ### ###########	3	58943	keine	0	keine	99	99	99	99	99	40	6	99	99	99	99	99	99	99	99	99	99
69,989	4	31NS	10	112	Der Stoff des Matheunterrichts ist schwierig.	1	69989	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
75,03	6	31NS	11	402	Ging es eben um ein Schulfach?	4	75030	Ja	2962	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
83,076	4	31NS	12	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	83076	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
88,11	4	31NS	13	207	Der Flugbegleiter heute war wirklich attraktiv!	2	88110	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
98,15	4	31NS	14	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	98150	keine	0	keine	99	99	99	99	99	59	11	99	99	99	99	99	99	99	99	99	99
103,196	4	31NS	15	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	103196	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
108,236	4	31NS	16	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	108236	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
116,276	4	31NS	17	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	116276	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
126,316	4	31NS	18	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	126316	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
131,362	4	31NS	19	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	131362	keine	0	keine	99	99	99	99	99	58	9	99	99	99	99	99	99	99	99	99	99
137,402	4	31NS	20	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	137402	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
142,437	4	31NS	21	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	142437	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
150,477	4	31NS	22	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	150477	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
157,517	4	31NS	23	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	157517	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
167,563	6	31NS	24	403	War eben von einer positiven Nachricht die Rede?	4	167563	Nein	3971	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
175,599	4	31NS	25	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	175599	keine	0	keine	99	99	99	99	99	59	10	99	99	99	99	99	99	99	99	99	99
180,633	4	31NS	26	313	### ############ #### ### ####### ########	3	180633	keine	0	keine	99	99	99	99	99	37	6	99	99	99	99	99	99	99	99	99	99
188,673	4	31NS	27	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	188673	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
194,713	4	31NS	28	303	### ####### #### ######### ####### ################ ###########	3	194713	keine	0	keine	99	99	99	99	99	57	7	99	99	99	99	99	99	99	99	99	99
200,748	4	31NS	29	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	200748	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
205,782	4	31NS	30	331	## #### ##### ######### ### ######### ##### #########	3	205782	keine	0	keine	99	99	99	99	99	46	8	99	99	99	99	99	99	99	99	99	99
210,822	4	31NS	31	354	###### ######### ### ############ ### ####### ###### ###	3	210822	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
216,862	4	31NS	32	310	### ############ ##### ### #### #### ######### #######	3	216862	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
223,896	4	31NS	33	162	Dieser Mann ist ein echter Leckerbissen.	1	223896	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
229,942	4	31NS	34	222	Die Unternehmerin war immer in Eile.	2	229942	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
234,976	4	31NS	35	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	234976	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
244,016	4	31NS	36	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	244016	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
255,051	4	31NS	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255051	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
264,092	4	31NS	38	312	### ##### ### ################ ### #########	3	264092	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
275,127	4	31NS	39	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	275127	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
282,168	4	31NS	40	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	282168	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
