onset	duration	Experiment - Satz_D1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
289,169	4	38NF	41	207	Der Flugbegleiter heute war wirklich attraktiv!	2	289169	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
297,211	4	38NF	42	330	####### ### ######## ######## ### ###########	3	297211	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
304,251	4	38NF	43	318	### ######### #### ##### ######## ##### ######### ### ###	3	304251	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
310,28	4	38NF	44	312	### ##### ### ################ ### #########	3	310280	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
316,314	4	38NF	45	122	Die Unternehmerin stand immer unter Druck.	1	316314	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
324,349	4	38NF	46	112	Der Stoff des Matheunterrichts ist schwierig.	1	324349	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
333,389	4	38NF	47	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	333389	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
338,424	6	38NF	48	404	Ging es gerade um Wahlkampf?	4	338424	Ja	2788	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
350,454	4	38NF	49	311	### #### ### ####### ######## ####### ####################	3	350454	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
360,5	4	38NF	50	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	360500	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
367,546	4	38NF	51	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	367546	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
374,592	6	38NF	52	405	Hat der Kaffee geschmeckt?	4	374592	Ja	2495	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
384,627	4	38NF	53	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	384627	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
391,667	4	38NF	54	208	Der Gesang des Opernstars ist wunderschšn.	2	391667	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
396,713	4	38NF	55	350	######## ########## ##### ############ #### ## ######	3	396713	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99

