onset	duration	Experiment - Satz_D2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
114,276	4	38NF	18	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	114276	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
122,321	4	38NF	19	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	122321	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
127,362	4	38NF	20	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	127362	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
132,401	4	38NF	21	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	132401	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
138,441	4	38NF	22	322	### ############## ### ##### ### ####	3	138441	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
144,476	4	38NF	23	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	144476	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
155,51	4	38NF	24	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	155510	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
161,551	4	38NF	25	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	161551	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
170,585	4	38NF	26	305	### ### ##### #### ###### ############ ### ###### #####	3	170585	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,621	4	38NF	27	304	### ### #### ########### ############## ######## ### ###	3	180621	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
185,689	4	38NF	28	212	Das Thema des Matheunterrichts ist schwierig.	2	185689	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
190,723	6	38NF	29	407	Ist es ein leichtes Thema?	4	190723	Nein	5193	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
202,769	4	38NF	30	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	202769	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
208,815	4	38NF	31	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	208815	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
213,85	4	38NF	32	326	###### ####### ######### #### ### ################# ## #########	3	213850	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,889	4	38NF	33	334	#### ########### ############## ###### ### ##### ####	3	219889	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
229,924	4	38NF	34	343	##### ########## ###### ### ######## ######## #####	3	229924	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
238,97	4	38NF	35	260	Ursula wollte alles vergessen und reiste nach Japan.	2	238970	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
247,005	4	38NF	36	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	247005	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
255,046	4	38NF	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255046	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
261,086	4	38NF	38	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	261086	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
271,121	4	38NF	39	360	##### ###### ##### ##### ######### ### ###### #### #####	3	271121	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
282,167	4	38NF	40	331	## #### ##### ######### ### ######### ##### #########	3	282167	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
293,208	6	38NF	41	408	Hast du gerade einen Satz gesehen?	4	293208	Nein	2493	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
302,255	4	38NF	42	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	302255	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
311,3	6	38NF	43	409	Verlief das GesprŠch gut?	4	311300	Ja	2380	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,325	4	38NF	44	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	318325	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
325,365	4	38NF	45	108	Der Gesang des Opernstars ist kšstlich.	1	325365	keine	0	keine	4,78	4,05	-0,4	4	4,74	34	6	5,5	0	0	0	1	1	1	0	0	0
335,411	4	38NF	46	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	335411	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
340,457	4	38NF	47	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	340457	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
350,497	4	38NF	48	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	350497	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
358,543	4	38NF	49	354	###### ######### ### ############ ### ####### ###### ###	3	358543	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
365,583	4	38NF	50	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	365583	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
371,629	4	38NF	51	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	371629	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
378,663	6	38NF	52	410	Sprach er gern Ÿber seine Kindheit?	4	378663	Nein	2342	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
385,699	4	38NF	53	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	385699	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
390,738	4	38NF	54	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	390738	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
401,778	4	38NF	55	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	401778	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0

