onset	duration	Experiment - Satz_C2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,621	4	29EZ	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1621	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,661	4	29EZ	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6661	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,7	6	29EZ	3	406	Stand er zum Bergsteigen spŠt auf?	4	11700	Nein	2391	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
18,729	4	29EZ	4	213	Der vorbestrafte Mann war diesmal unschuldig.	2	18729	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
24,769	4	29EZ	5	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	24769	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
34,804	4	29EZ	6	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	34804	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
44,85	4	29EZ	7	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	44850	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
51,896	4	29EZ	8	337	## #### #### ### ##### ########### ###### #########	3	51896	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
58,942	4	29EZ	9	334	#### ########### ############## ###### ### ##### ####	3	58942	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
69,988	4	29EZ	10	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	69988	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
75,029	6	29EZ	11	407	War die Kaffeemaschine praktisch?	4	75029	Ja	1973	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
83,075	4	29EZ	12	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	83075	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
88,109	4	29EZ	13	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	88109	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
98,149	4	29EZ	14	362	###### #### ### #### ######	3	98149	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
103,195	4	29EZ	15	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	103195	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
108,235	4	29EZ	16	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	108235	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
116,275	4	29EZ	17	219	Die kleine Familie wollte ihren Hausbau grŸndlich planen.	2	116275	keine	0	keine	3,06	3,55	1,2	4,89	1,32	50	8	5,833333	0	0	0	1	1	1	0	1	0
126,315	4	29EZ	18	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	126315	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
131,362	4	29EZ	19	311	### #### ### ####### ######## ####### ####################	3	131362	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
137,401	4	29EZ	20	208	Der Gesang des Opernstars ist wunderschšn.	2	137401	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
142,436	4	29EZ	21	112	Der Stoff des Matheunterrichts ist schwierig.	1	142436	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
150,476	4	29EZ	22	162	Dieser Mann ist ein echter Leckerbissen.	1	150476	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
157,516	4	29EZ	23	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	157516	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
167,562	6	29EZ	24	408	Hat sie besonders tiefgrŸndig reagiert?	4	167562	Nein	3326	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
175,598	4	29EZ	25	360	##### ###### ##### ##### ######### ### ###### #### #####	3	175598	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
180,632	4	29EZ	26	347	### #### ######## ###### ###### ### ###### ########## ###	3	180632	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
188,672	4	29EZ	27	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	188672	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
194,712	4	29EZ	28	330	####### ### ######## ######## ### ###########	3	194712	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
200,747	4	29EZ	29	244	Meine Tante hat ein gutes Herz, sie kocht freiwillig fŸr Obdachlose.	2	200747	keine	0	keine	5,22	3,3	1	5,05	1,95	58	11	5,578947	1	0	0	1	2	1	0	0	0
205,781	4	29EZ	30	318	### ######### #### ##### ######## ##### ######### ### ###	3	205781	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
210,821	4	29EZ	31	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	210821	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,861	4	29EZ	32	322	### ############## ### ##### ### ####	3	216861	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
223,895	4	29EZ	33	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	223895	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
229,941	4	29EZ	34	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	229941	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
234,975	4	29EZ	35	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	234975	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
244,015	4	29EZ	36	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	244015	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
255,05	4	29EZ	37	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	255050	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
264,091	4	29EZ	38	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	264091	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
275,127	4	29EZ	39	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	275127	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
282,168	4	29EZ	40	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	282168	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
291,213	4	29EZ	41	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	291213	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
296,248	6	29EZ	42	409	Hatte er eine ebene Gesichtshaut?	4	296248	Nein	3524	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
307,294	4	29EZ	43	349	##### ############ ##### ###### ### ###### ##### ###### #########	3	307294	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
312,329	4	29EZ	44	312	### ##### ### ################ ### #########	3	312329	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,369	4	29EZ	45	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	318369	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
324,404	4	29EZ	46	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	324404	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
334,438	4	29EZ	47	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	334438	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
340,484	4	29EZ	48	101	Ach, was fŸr ein leichtes Leben hatten wir wŠhrend der Schulferien!	1	340484	keine	0	keine	4,5	1,95	-0,1	4,89	2,79	57	11	5,736842	0	0	0	1	1	1	0	0	1
345,519	4	29EZ	49	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	345519	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
355,559	4	29EZ	50	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	355559	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
361,605	6	29EZ	51	410	Hast du gerade Rauten gesehen?	4	361605	Ja	3815	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
374,629	4	29EZ	52	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	374629	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
384,67	4	29EZ	53	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	384670	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
390,716	4	29EZ	54	122	Die Unternehmerin stand immer unter Druck.	1	390716	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
397,751	4	29EZ	55	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	397751	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0

