onset	duration	Experiment - Satz_C1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,633	4	29EZ	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1633	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,667	4	29EZ	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6667	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,706	6	29EZ	3	401	War er besser als die meisten?	4	11706	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
22,752	4	29EZ	4	331	## #### ##### ######### ### ######### ##### #########	3	22752	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
28,787	4	29EZ	5	326	###### ####### ######### #### ### ################# ## #########	3	28787	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
38,822	4	29EZ	6	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	38822	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
46,869	4	29EZ	7	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	46869	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
52,909	4	29EZ	8	230	Endlich war Ruhe zwischen den Streitenden.	2	52909	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
63,943	4	29EZ	9	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	63943	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
68,985	4	29EZ	10	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	68985	keine	0	keine	5,5	3,2	1,1	4,83	2,84	62	11	5,578947	1	0	0	1	2	1	0	0	0
