onset	duration	Experiment - Satz_A2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
265,068	4	41CC	37	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	265068	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
270,103	4	41CC	38	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	270103	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
277,142	4	41CC	39	308	### ###### ### ########## ### ##########	3	277142	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
288,188	4	41CC	40	357	##### #### ############## ##### #### ######## #########	3	288188	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
296,229	4	41CC	41	230	Endlich war Ruhe zwischen den Streitenden.	2	296229	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
304,27	4	41CC	42	305	### ### ##### #### ###### ############ ### ###### #####	3	304270	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
309,31	4	41CC	43	347	### #### ######## ###### ###### ### ###### ########## ###	3	309310	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
318,35	4	41CC	44	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	318350	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
328,385	4	41CC	45	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	328385	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
333,431	4	41CC	46	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	333431	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
342,471	4	41CC	47	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	342471	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
347,506	6	41CC	48	409	Ging es im letzten Satz um Eiscreme?	4	347506	Ja	3381	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
355,535	4	41CC	49	318	### ######### #### ##### ######## ##### ######### ### ###	3	355535	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
363,57	4	41CC	50	262	Dieser Mann ist echt hŸbsch.	2	363570	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
369,611	4	41CC	51	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	369611	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
376,645	6	41CC	52	410	Ging es eben um Kleidungsstoffe?	4	376645	Nein	3249	incorrect	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
388,68	4	41CC	53	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	388680	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
393,726	4	41CC	54	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	393726	keine	0	keine	4,89	2,25	0,4	4,26	2,68	56	11	4,157895	0	0	0	0	1	2	0	0	1
403,766	4	41CC	55	337	## #### #### ### ##### ########### ###### #########	3	403766	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99

