onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
180,617	4	41CC	26	313	### ############ #### ### ####### ########	3	180617	keine	0	keine	99	99	99	99	99	37	6	99	99	99	99	99	99	99	99	99	99
188,657	4	41CC	27	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	188657	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
194,697	4	41CC	28	303	### ####### #### ######### ####### ################ ###########	3	194697	keine	0	keine	99	99	99	99	99	57	7	99	99	99	99	99	99	99	99	99	99
200,732	4	41CC	29	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	200732	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
205,766	4	41CC	30	331	## #### ##### ######### ### ######### ##### #########	3	205766	keine	0	keine	99	99	99	99	99	46	8	99	99	99	99	99	99	99	99	99	99
210,806	4	41CC	31	354	###### ######### ### ############ ### ####### ###### ###	3	210806	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
216,846	4	41CC	32	310	### ############ ##### ### #### #### ######### #######	3	216846	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
223,88	4	41CC	33	162	Dieser Mann ist ein echter Leckerbissen.	1	223880	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
229,926	4	41CC	34	222	Die Unternehmerin war immer in Eile.	2	229926	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
234,96	4	41CC	35	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	234960	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
244	4	41CC	36	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	244000	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
255,035	4	41CC	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255035	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
264,076	4	41CC	38	312	### ##### ### ################ ### #########	3	264076	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
275,112	4	41CC	39	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	275112	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
282,153	4	41CC	40	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	282153	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
291,199	4	41CC	41	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	291199	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
296,234	6	41CC	42	404	War das GesprŠch negativ ausgegangen?	4	296234	Nein	2994	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
307,263	4	41CC	43	322	### ############## ### ##### ### ####	3	307263	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
312,298	4	41CC	44	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	312298	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
318,338	4	41CC	45	307	### ############# ##### ### ######## #########	3	318338	keine	0	keine	99	99	99	99	99	41	6	99	99	99	99	99	99	99	99	99	99
324,372	4	41CC	46	260	Ursula wollte alles vergessen und reiste nach Japan.	2	324372	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
334,407	4	41CC	47	208	Der Gesang des Opernstars ist wunderschšn.	2	334407	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
340,453	4	41CC	48	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	340453	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
345,488	4	41CC	49	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	345488	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
355,527	4	41CC	50	360	##### ###### ##### ##### ######### ### ###### #### #####	3	355527	keine	0	keine	99	99	99	99	99	48	9	99	99	99	99	99	99	99	99	99	99
361,574	6	41CC	51	405	Hast du gerade einen Satz gelesen?	4	361574	Nein	2873	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
374,598	4	41CC	52	113	Der vorbestrafte Mann war diesmal sauber.	1	374598	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
384,639	4	41CC	53	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	384639	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
390,685	4	41CC	54	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	390685	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
397,72	4	41CC	55	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	397720	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0

