onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,621	4	41CC	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1621	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,661	4	41CC	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6661	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,701	6	41CC	3	401	Ging es eben um ein Geschenk?	4	11701	Ja	2363	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
18,73	4	41CC	4	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	18730	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
24,77	4	41CC	5	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	24770	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
34,805	4	41CC	6	359	###### ### ###### #### ### ########## ### ####### #######	3	34805	keine	0	keine	99	99	99	99	99	49	9	99	99	99	99	99	99	99	99	99	99
44,851	4	41CC	7	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	44851	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
51,897	4	41CC	8	304	### ### #### ########### ############## ######## ### ###	3	51897	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
58,943	4	41CC	9	330	####### ### ######## ######## ### ###########	3	58943	keine	0	keine	99	99	99	99	99	40	6	99	99	99	99	99	99	99	99	99	99
69,989	4	41CC	10	112	Der Stoff des Matheunterrichts ist schwierig.	1	69989	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
75,03	6	41CC	11	402	Ging es eben um ein Schulfach?	4	75030	Ja	2146	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
83,059	4	41CC	12	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	83059	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
88,094	4	41CC	13	207	Der Flugbegleiter heute war wirklich attraktiv!	2	88094	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
98,134	4	41CC	14	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	98134	keine	0	keine	99	99	99	99	99	59	11	99	99	99	99	99	99	99	99	99	99
103,18	4	41CC	15	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	103180	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
108,22	4	41CC	16	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	108220	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
116,259	4	41CC	17	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	116259	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
126,298	4	41CC	18	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	126298	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
131,33	4	41CC	19	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	131330	keine	0	keine	99	99	99	99	99	58	9	99	99	99	99	99	99	99	99	99	99
137,37	4	41CC	20	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	137370	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
142,404	4	41CC	21	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	142404	keine	0	keine	5,5	3,2	1,1	4,83	2,84	60	11	5,578947	1	0	0	1	2	1	0	0	0
150,444	4	41CC	22	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	150444	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
157,484	4	41CC	23	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	157484	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
167,53	6	41CC	24	403	War eben von einer positiven Nachricht die Rede?	4	167530	Nein	5367	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
175,583	4	41CC	25	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	175583	keine	0	keine	99	99	99	99	99	59	10	99	99	99	99	99	99	99	99	99	99
