onset	duration	Experiment - Satz_C2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,634	4	39SN	1	22	Er achtete stets auf die Preise im Supermarkt.	99	1634	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,674	4	39SN	2	12	Immer wenn der Berg rief, stand er sehr frŸh auf.	99	6674	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,711	6	39SN	3	406	Stand er zum Bergsteigen spŠt auf?	4	11711	Nein	2724	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
18,757	4	39SN	4	213	Der vorbestrafte Mann war diesmal unschuldig.	2	18757	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
24,797	4	39SN	5	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	24797	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
34,831	4	39SN	6	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	34831	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
44,877	4	39SN	7	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	44877	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
51,923	4	39SN	8	337	## #### #### ### ##### ########### ###### #########	3	51923	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
58,969	4	39SN	9	334	#### ########### ############## ###### ### ##### ####	3	58969	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
70,015	4	39SN	10	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	70015	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
