onset	duration	Experiment - Satz_C1	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,626	4	39SN	1	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	1626	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,665	4	39SN	2	11	Ihm konnten nicht viele das Wasser reichen.	99	6665	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,705	6	39SN	3	401	War er besser als die meisten?	4	11705	warning	4878	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
22,735	4	39SN	4	331	## #### ##### ######### ### ######### ##### #########	3	22735	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
28,77	4	39SN	5	326	###### ####### ######### #### ### ################# ## #########	3	28770	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
38,804	4	39SN	6	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	38804	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
46,851	4	39SN	7	205	Das war heute eine gro§e EnttŠuschung fŸr meinen Vater.	2	46851	keine	0	keine	3,61	4,3	1,8	4,53	2,37	47	9	6,105263	0	0	0	0	1	1	0	0	0
52,891	4	39SN	8	230	Endlich war Ruhe zwischen den Streitenden.	2	52891	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
63,926	4	39SN	9	134	Ihre romantische Hochzeitsfeier bewegte die Braut sehr.	1	63926	keine	0	keine	5,11	4,15	-0,8	3,68	5,42	49	7	4,421053	0	0	0	1	1	1	0	0	0
68,967	4	39SN	10	144	Meine Tante hat ein weiches Herz, sie kocht freiwillig fŸr Obdachlose.	1	68967	keine	0	keine	5,5	3,2	1,1	4,83	2,84	62	11	5,578947	1	0	0	1	2	1	0	0	0
76,007	4	39SN	11	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	76007	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
81,053	4	39SN	12	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	81053	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
86,092	4	39SN	13	260	Ursula wollte alles vergessen und reiste nach Japan.	2	86092	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
96,132	4	39SN	14	207	Der Flugbegleiter heute war wirklich attraktiv!	2	96132	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
104,179	4	39SN	15	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	104179	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
110,219	4	39SN	16	313	### ############ #### ### ####### ########	3	110219	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
115,254	4	39SN	17	239	Laut und unangenehm hallten die Stimmen der HŠndler auf dem Markt.	2	115254	keine	0	keine	4,89	2,25	0,4	4,26	2,68	61	11	4,157895	0	0	0	0	1	2	0	0	1
121,293	4	39SN	18	350	######## ########## ##### ############ #### ## ######	3	121293	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
126,328	6	39SN	19	402	Hast du gerade einen Satz gelesen?	4	126328	Nein	2159	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
135,374	4	39SN	20	103	Das GesprŠch beim Finanzamt verlief glŸcklicherweise reibungslos.	1	135374	keine	0	keine	3,39	4,25	-0,7	4,26	2,53	59	7	6,210526	0	0	0	1	1	2	0	0	0
141,42	4	39SN	21	204	Das war eine unglaublich gleichgŸltige Reaktion von ihr.	2	141420	keine	0	keine	3,44	4	1,7	5,26	1,74	49	8	3,315789	0	0	0	1	1	2	0	0	0
147,454	6	39SN	22	403	Schien es ihr egal zu sein?	4	147454	Ja	3585	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
157,494	4	39SN	23	110	Der Schauspieler hatte ein zerfurchtes Gesicht voller Narben.	1	157494	keine	0	keine	6,53	3,65	0,7	5,16	3,26	54	8	5,947368	0	0	0	1	1	1	0	0	0
163,535	4	39SN	24	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	163535	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
173,57	4	39SN	25	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	173570	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
180,616	4	39SN	26	305	### ### ##### #### ###### ############ ### ###### #####	3	180616	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
190,662	4	39SN	27	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	190662	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
197,708	4	39SN	28	113	Der vorbestrafte Mann war diesmal sauber.	1	197708	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
206,754	4	39SN	29	307	### ############# ##### ### ######## #########	3	206754	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
211,789	4	39SN	30	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	211789	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
219,829	4	39SN	31	262	Dieser Mann ist echt hŸbsch.	2	219829	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
225,869	6	39SN	32	404	Sieht der Mann schlecht aus?	4	225869	Nein	1843	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
234,91	4	39SN	33	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	234910	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
239,956	4	39SN	34	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	239956	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
249,996	4	39SN	35	343	##### ########## ###### ### ######## ######## #####	3	249996	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
261,042	4	39SN	36	319	### ###### ####### ###### ##### ####### ########### ######	3	261042	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
267,083	4	39SN	37	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	267083	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
272,118	4	39SN	38	303	### ####### #### ######### ####### ################ ###########	3	272118	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
279,158	4	39SN	39	212	Das Thema des Matheunterrichts ist schwierig.	2	279158	keine	0	keine	3	4,15	-0,3	4,05	1,95	40	6	5,315789	0	0	0	1	1	1	0	0	0
290,203	4	39SN	40	310	### ############ ##### ### #### #### ######### #######	3	290203	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
298,245	4	39SN	41	357	##### #### ############## ##### #### ######## #########	3	298245	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
306,285	4	39SN	42	354	###### ######### ### ############ ### ####### ###### ###	3	306285	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
311,325	4	39SN	43	359	###### ### ###### #### ### ########## ### ####### #######	3	311325	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
